scenario,location,tech_type,value
32,PRT_2,hydro_reservoir,0.1739601194724856
33,PRT_1,pumped_hydro,0.505776103896104
33,PRT_2,pumped_hydro,0.0058
33,PRT_1,hydro_reservoir,1.6428179933707294
33,PRT_2,hydro_reservoir,0.1739601194724856
34,PRT_1,pumped_hydro,0.505776103896104
34,PRT_2,pumped_hydro,0.0058
34,PRT_1,hydro_reservoir,1.6428179933707294
34,PRT_2,hydro_reservoir,0.1739601194724856
35,PRT_1,pumped_hydro,0.505776103896104
35,PRT_2,pumped_hydro,0.0058
35,PRT_1,hydro_reservoir,1.6428179933707294
35,PRT_2,hydro_reservoir,0.1739601194724856
36,PRT_1,pumped_hydro,0.505776103896104
36,PRT_2,pumped_hydro,0.0058
36,PRT_1,hydro_reservoir,1.6428179933707294
36,PRT_2,hydro_reservoir,0.1739601194724856
37,PRT_1,pumped_hydro,0.505776103896104
37,PRT_2,pumped_hydro,0.0058
37,PRT_1,hydro_reservoir,1.6428179933707294
37,PRT_2,hydro_reservoir,0.1739601194724856
38,PRT_1,pumped_hydro,0.505776103896104
38,PRT_2,pumped_hydro,0.0058
38,PRT_1,hydro_reservoir,1.6428179933707294
38,PRT_2,hydro_reservoir,0.1739601194724856
39,PRT_1,pumped_hydro,0.505776103896104
39,PRT_2,pumped_hydro,0.0058
39,PRT_1,hydro_reservoir,1.6428179933707294
39,PRT_2,hydro_reservoir,0.1739601194724856
40,PRT_1,pumped_hydro,0.505776103896104
40,PRT_2,pumped_hydro,0.0058
40,PRT_1,hydro_reservoir,1.6428179933707294
40,PRT_2,hydro_reservoir,0.1739601194724856
41,PRT_1,pumped_hydro,0.505776103896104
41,PRT_2,pumped_hydro,0.0058
41,PRT_1,hydro_reservoir,1.6428179933707294
41,PRT_2,hydro_reservoir,0.1739601194724856
42,PRT_1,pumped_hydro,0.505776103896104
42,PRT_2,pumped_hydro,0.0058
42,PRT_1,hydro_reservoir,1.6428179933707294
42,PRT_2,hydro_reservoir,0.1739601194724856
43,PRT_1,pumped_hydro,0.505776103896104
43,PRT_2,pumped_hydro,0.0058
43,PRT_1,hydro_reservoir,1.6428179933707294
43,PRT_2,hydro_reservoir,0.1739601194724856
44,PRT_1,pumped_hydro,0.505776103896104
44,PRT_2,pumped_hydro,0.0058
44,PRT_1,hydro_reservoir,1.6428179933707294
44,PRT_2,hydro_reservoir,0.1739601194724856
45,PRT_1,pumped_hydro,0.505776103896104
45,PRT_2,pumped_hydro,0.0058
45,PRT_1,hydro_reservoir,1.6428179933707294
45,PRT_2,hydro_reservoir,0.1739601194724856
46,PRT_1,pumped_hydro,0.505776103896104
46,PRT_2,pumped_hydro,0.0058
46,PRT_1,hydro_reservoir,1.6428179933707294
46,PRT_2,hydro_reservoir,0.1739601194724856
47,PRT_1,pumped_hydro,0.505776103896104
47,PRT_2,pumped_hydro,0.0058
47,PRT_1,hydro_reservoir,1.6428179933707294
47,PRT_2,hydro_reservoir,0.1739601194724856
48,PRT_1,pumped_hydro,0.505776103896104
48,PRT_2,pumped_hydro,0.0058
48,PRT_1,hydro_reservoir,1.6428179933707294
48,PRT_2,hydro_reservoir,0.1739601194724856
49,PRT_1,pumped_hydro,0.505776103896104
49,PRT_2,pumped_hydro,0.0058
49,PRT_1,hydro_reservoir,1.6428179933707294
49,PRT_2,hydro_reservoir,0.1739601194724856
50,PRT_1,pumped_hydro,0.505776103896104
50,PRT_2,pumped_hydro,0.0058
50,PRT_1,hydro_reservoir,1.6428179933707294
50,PRT_2,hydro_reservoir,0.1739601194724856
51,PRT_1,pumped_hydro,0.505776103896104
51,PRT_2,pumped_hydro,0.0058
51,PRT_1,hydro_reservoir,1.6428179933707294
51,PRT_2,hydro_reservoir,0.1739601194724856
52,PRT_1,pumped_hydro,0.505776103896104
52,PRT_2,pumped_hydro,0.0058
52,PRT_1,hydro_reservoir,1.6428179933707294
52,PRT_2,hydro_reservoir,0.1739601194724856
53,PRT_1,pumped_hydro,0.505776103896104
53,PRT_2,pumped_hydro,0.0058
53,PRT_1,hydro_reservoir,1.6428179933707294
53,PRT_2,hydro_reservoir,0.1739601194724856
54,PRT_1,pumped_hydro,0.505776103896104
54,PRT_2,pumped_hydro,0.0058
54,PRT_1,hydro_reservoir,1.6428179933707294
54,PRT_2,hydro_reservoir,0.1739601194724856
55,PRT_1,pumped_hydro,0.505776103896104
55,PRT_2,pumped_hydro,0.0058
55,PRT_1,hydro_reservoir,1.6428179933707294
55,PRT_2,hydro_reservoir,0.1739601194724856
56,PRT_1,pumped_hydro,0.505776103896104
56,PRT_2,pumped_hydro,0.0058
56,PRT_1,hydro_reservoir,1.6428179933707294
56,PRT_2,hydro_reservoir,0.1739601194724856
57,PRT_1,pumped_hydro,0.505776103896104
57,PRT_2,pumped_hydro,0.0058
57,PRT_1,hydro_reservoir,1.6428179933707294
57,PRT_2,hydro_reservoir,0.1739601194724856
58,PRT_1,pumped_hydro,0.505776103896104
58,PRT_2,pumped_hydro,0.0058
58,PRT_1,hydro_reservoir,1.6428179933707294
58,PRT_2,hydro_reservoir,0.1739601194724856
59,PRT_1,pumped_hydro,0.505776103896104
59,PRT_2,pumped_hydro,0.0058
