scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
39,PRT_1,219545146.71683133,2898967213.145783,70415145.64209686,417483461.6469222,2215918606.856596,658316759.3961922,battery
39,PRT_2,225282534.27747372,2974726111.3776164,72255309.21086329,428393584.0315288,2273827351.5521603,675520593.9732951,battery
39,PRT_1,748939736.6607685,630250370.8935043,312365215.69071627,21869675.48672226,27500354.390141048,2482182494.524104,pumped_hydro
39,PRT_2,97438982.61591747,81997191.39883712,40639516.548033305,2845300.930442822,3577866.7123470423,322938315.4535698,pumped_hydro
40,PRT_1,899275594.7223835,11874416281.425837,288426425.8249955,1710047768.6419888,9076591092.25296,2696521440.6916194,battery
40,PRT_2,954874656.6103332,12608569870.813623,306258822.02664566,1815774035.7374816,9637764944.66422,2863237921.53805,battery
40,PRT_1,779413908.6283492,655895102.031518,325075278.7754862,22759547.153338656,28619336.98357522,2583181884.048161,pumped_hydro
40,PRT_2,106256569.44318493,89417397.72017449,44317125.40806175,3102781.943999567,3901640.10925191,352162108.2305088,pumped_hydro
41,PRT_1,328807393.0645926,4341712245.470993,105459040.27978432,625254762.970274,3318727064.841933,985944898.8274896,battery
41,PRT_2,348259046.4807428,4598560125.454538,111697807.24302964,662243709.090794,3515056983.237112,1044271624.0287265,battery
41,PRT_1,882263399.1746496,742445362.8736322,367971391.4072118,25762839.50400359,32395872.398132663,2924052040.227874,pumped_hydro
41,PRT_2,95052939.53688684,79989280.13186148,39644353.88734738,2775626.4489306,3490253.481199705,315030343.59410256,pumped_hydro
42,PRT_1,403833459.18655217,5332388236.589106,129522297.66413152,767923103.7045181,4075982045.9020905,1210914193.1082563,battery
42,PRT_2,439399460.9737197,5802016805.589847,140929451.19588608,835554831.233428,4434957711.318782,1317560572.640417,battery
42,PRT_1,881860450.7650039,742106272.3270916,367803331.067067,25751073.06870116,32381076.516002543,2922716563.6338825,pumped_hydro
42,PRT_2,95246033.57484835,80151773.29798076,39724888.88617836,2781264.958602242,3497343.7105127354,315670307.8226825,pumped_hydro
43,PRT_1,522236776.6813905,6895835848.518999,167498025.98510426,993076916.473521,5271053393.522307,1565952277.2591033,battery
43,PRT_2,591790833.2747283,7814257105.470944,189806235.0175521,1125339773.3501766,5973078150.126581,1774513485.84935,battery
43,PRT_1,829046860.8795907,697662396.5595868,345776020.2055652,24208871.45281069,30441811.75627689,2747678490.6494803,pumped_hydro
43,PRT_2,97644113.89936306,82169814.18962383,40725071.99990997,2851290.937891396,3585398.937858817,323618174.2672016,pumped_hydro
44,PRT_1,963380593.8421924,12720885872.879658,308986947.96320486,1831948786.913776,9723617284.66216,2888743386.440571,battery
44,PRT_2,1006344327.050474,13288197224.497898,322766790.4075991,1913647919.5673573,10157259919.263634,3017572222.059145,battery
44,PRT_1,732749536.8457105,616625937.6596963,305612662.70180047,21396907.921204664,26905865.66058528,2428523930.8284945,pumped_hydro
44,PRT_2,130831707.7646256,110097953.55622128,54566839.77978434,3820396.825174789,4804015.801106098,433610554.8224386,pumped_hydro
45,PRT_1,427591486.2673453,5646099300.514751,137142256.301708,813100979.5806986,4315777163.479592,1282153788.3867955,battery
45,PRT_2,462931352.6821296,6112741882.168127,148476880.99181286,880302691.7825785,4672470393.657672,1388122090.0486038,battery
45,PRT_1,857105875.4051704,721274716.0106815,357478777.7110354,25028218.47382421,31472112.0668626,2840673415.6878066,pumped_hydro
45,PRT_2,203385283.68473604,171153490.99796283,84827236.28707147,5939022.774772106,7468114.062163901,674072113.0073205,pumped_hydro
46,PRT_1,288576760.4459957,3810489912.982581,92555790.54971404,548752849.7144988,2912670229.979883,865311397.7458506,battery
46,PRT_2,348165459.4534115,4597324362.661025,111667790.89214104,662065745.5296776,3514112388.294681,1043990998.7929808,battery
46,PRT_1,821035689.0495808,690920807.3902538,342434748.14571464,23974938.44109489,30147649.15063408,2721127368.438052,pumped_hydro
46,PRT_2,195714150.01910293,164698051.92686328,81627786.17811944,5715019.165842676,7186437.3343144255,648647966.3558341,pumped_hydro
47,PRT_1,385261434.8869685,5087155352.458528,123565655.87322696,732606845.9309797,3888530422.270798,1155225078.4310882,battery
47,PRT_2,462108100.8554954,6101871315.957649,148212837.8182813,878737209.5684183,4664161127.577105,1385653529.5598774,battery
47,PRT_1,823833229.3996397,693275003.2713208,343601536.67631906,24056628.99191221,30250372.16996584,2730399150.0577607,pumped_hydro
47,PRT_2,197486005.8212489,166189110.18136495,82366785.71669094,5766758.857977279,7251498.193155346,654520360.6749246,pumped_hydro
48,PRT_1,315331015.4131586,4163764440.439953,101136735.23572177,599628303.5539856,3182706950.357892,945535327.5089576,battery
48,PRT_2,345433974.3108626,4561256674.580189,110791716.3033464,656871598.0397345,3486542893.6269937,1035800508.2525502,battery
48,PRT_1,798839798.3654205,672242444.2974167,333177362.2151485,23326799.60876956,29332637.16777313,2647564371.831359,pumped_hydro
48,PRT_2,195145846.9352572,164219811.5400323,81390760.27780512,5698424.233816205,7165569.785909997,646764461.0519286,pumped_hydro
49,PRT_1,570866609.0387857,7537964775.954114,183095167.5261712,1085550610.6338413,5761885242.827801,1711771185.6988864,battery
49,PRT_2,698073922.8375947,9217664088.327127,223894618.85467708,1327445958.8376904,7045817307.782971,2093208479.320948,battery
49,PRT_1,781878117.9218477,657968792.0030383,326103042.7327074,22831504.154606152,28709820.403729733,2591348919.2203584,pumped_hydro
49,PRT_2,191933589.5153973,161516621.50861722,80051002.97465764,5604623.592838906,7047618.750447022,636118198.4153227,pumped_hydro
50,PRT_1,842801986.0234629,11128714805.10327,270313534.5088497,1602658477.6287448,8506590241.932719,2527182588.860686,battery
50,PRT_2,999272543.8534292,13194818400.446053,320498643.5083578,1900200332.25664,10085882818.907146,2996367137.514801,battery
50,PRT_1,753973104.9202378,634486068.4497832,314464515.6544623,22016654.10870132,27685174.882546287,2498864395.577788,pumped_hydro
50,PRT_2,186484365.52050665,156930971.58813867,77778259.3276183,5445501.630698043,6847528.431192627,618058042.5085666,pumped_hydro
51,PRT_1,17955731.21725357,237095088.9386512,5758976.901475382,34144324.92397262,181231238.7636017,53841130.0103916,battery
51,PRT_2,18545242.36420214,244879244.0991936,5948051.968224925,35265329.683075614,187181307.52625844,55608807.74634113,battery
51,PRT_1,1408587799.9996417,1185359702.429504,587488966.6396407,41131958.38412492,51722003.5116991,4668428991.027095,pumped_hydro
51,PRT_2,209640225.8601105,176417171.6827718,87436026.10833956,6121672.391113147,7697789.586231535,694802630.046247,pumped_hydro
52,PRT_1,40441502.92310071,534006753.4064978,12970882.576549822,76902900.77929486,408185196.3328962,121265805.9063632,battery
52,PRT_2,42689297.78164548,563687589.8733755,13691822.231581844,81177270.73304196,430872696.0382314,128005927.69540551,battery
52,PRT_1,1239408064.8817344,1042990983.5775332,516928063.1866839,36191766.63724992,45509884.6406717,4107723027.1397705,pumped_hydro
52,PRT_2,201734824.5093721,169764590.8548678,84138868.43707606,5890827.967096086,7407510.771929444,668602058.9128739,pumped_hydro
53,PRT_1,49856483.11516291,658326144.1895183,15990567.645227736,94806273.18674327,503212711.6424728,149497080.16819844,battery
53,PRT_2,51813615.47134728,684168949.7227379,16618282.54561372,98527924.07805131,522966489.2549821,155365636.36131042,battery
53,PRT_1,1411430555.1399453,1187751947.618047,588674613.1998245,41214969.24516408,51826386.7750993,4677850626.307043,pumped_hydro
53,PRT_2,207565405.4486161,174671161.5969509,86570667.12999825,6061085.875441109,7621604.15525628,687926131.6411084,pumped_hydro
54,PRT_1,35716274.672985144,471612835.9067717,11455350.84925007,67917483.99176522,360492403.4943432,107096980.06100944,battery
54,PRT_2,37729149.03090235,498191682.4677032,12100943.991214594,71745132.96224084,380808797.6833081,113132681.34701814,battery
54,PRT_1,1240669792.9314263,1044052757.3523244,517454300.39255375,36228610.16637323,45556214.09391347,4111904724.4439626,pumped_hydro
54,PRT_2,201010555.77055213,169155101.70784628,83836792.9165165,5869678.705669801,7380916.3131014835,666201642.5685022,pumped_hydro
55,PRT_1,4334625.838428901,57236237.6248173,1390253.0494588586,8242653.627436144,43750354.73466743,12997585.589218356,battery
55,PRT_2,4516463.472215795,59637298.8477471,1448574.1904988526,8588433.09897669,45585682.92188015,13542834.544164544,battery
55,PRT_1,1400112327.8113184,1178227393.6084971,583954045.7793988,40884467.40817297,51410792.2387576,4640339055.790809,pumped_hydro
