id,infra,pace,import,power,storage,bio,index,scenario,wind_onshore,wind_offshore,open_field_pv,roof_mounted_pv,hydro_run_of_river,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,battery
0.0,0.5019845570452119,8.089425633075022,0.0290147315808306,90.26975159371551,5.8985188899333965,0.8228428776379451,0,0,13.866014298214122,,59.622790692369755,,1.6155,1656573574.3481903,1522269865.9409685,789768660.736611,67550223.87249075,166183397.963479,5607614396.927338,4.675065200126717e-07
1.0,0.4665439666911353,6.582621099900612,0.0616791023209778,87.3431552430396,5.90540306865921,0.1053240761074639,0,1,22.163600919162068,,45.00508226505882,,1.6155,14152918163.714624,170463002856.83914,4766469362.0982065,24426164076.54426,129494294787.96353,42977693639.22827,0.0050129815717119
2.0,0.1881200008807587,3.729211861614511,0.1182384438737803,44.653267520163126,5.9018983210107665,0.7117551560035472,0,2,25.305061162613303,,2.231546741630743,,1.6155,849156714.6159401,1567530269.8240225,451791833.31440526,153737055.83834997,726209251.949436,2912854693.519321,1.079387877709646e-05
3.0,0.2395485438156246,4.25348724174246,0.1146744774140022,52.36806391100946,5.901122540319956,0.7152786383315111,0,3,23.262261035691495,,11.8057759361534,,1.6155,650723782.6809278,882806670.8237493,369864152.73830664,69773776.94006033,299337008.7866164,2264742966.7965508,4.715755709111594e-06
4.0,0.2066186962485643,3.89421898137887,0.1099477998496877,47.2696985205901,5.902749800453825,0.7123299661053965,0,4,25.4281277012606,,4.817398567012824,,1.6155,792777546.4724278,1395767958.6264362,428829821.897477,133288036.75780146,623183292.3468115,2728652412.3769817,8.633728227860809e-06
5.0,0.2167521025190885,4.020260046091668,0.1154258293806272,48.96334009860853,5.903019727570881,0.718386667893706,0,5,24.08122784523693,,7.647632580322997,,1.6155,723813506.7544225,1299377254.6625605,399765838.1943516,125552496.98018494,590010081.2800103,2499689731.086489,9.537960259947178e-06
6.0,0.2376920861321784,4.178839900038492,0.1067937256240843,51.66396719812929,5.902084950600103,0.8356451463761309,0,6,23.787430790688298,,11.00721351578644,,1.6155,777057691.7375716,1183350183.0971532,423738288.3373752,102653765.84733568,460510064.10552037,2681603417.6635184,8.610532471323461e-06
7.0,0.2176348755052997,3.948004116292392,0.0822028718747228,48.97596806096413,5.903472475502197,0.7274891059513084,0,7,27.397393634551822,,4.45325261629401,0.0015952139373308998,1.6155,1163583359.3531709,2665662107.254437,577644467.8755039,289255725.8004356,1416440987.5554104,3931849569.949227,2.377000224288489e-05
8.0,0.2452908559565656,4.287532876391808,0.0719543585418506,53.27602467463142,5.902488490622003,0.7833853443363576,0,8,26.986993881061146,,8.91114463622648,0.0029920969263471002,1.6155,877914227.8605257,2020794293.0182354,459080301.8031942,219588219.56989923,1076446572.310198,2996708152.7970805,1.810813396227032e-05
9.0,0.2560678904413735,4.372731752486365,0.064800854721849,55.16501424333016,5.902495399920642,0.8761461381200185,0,9,26.017712188678715,,11.441699081591729,0.0082030832164015,1.6155,978468572.3066983,2640292004.785674,498517895.2157159,303565431.0466933,1515465193.3056552,3315584609.607706,3.795557008539891e-05
10.0,0.2747444379907544,4.585719926332144,0.0894109769035849,58.18342071316006,5.904545686267645,0.8346053742026529,0,10,22.457798735865513,,17.736313827880263,0.0110183537337723,1.6155,873737630.2924433,1922186712.2320924,459676534.9662797,205246566.3611604,1000174893.0937259,2982044433.945998,1.7834559400441414e-05
11.0,0.3425875199562457,5.322106448249257,0.0986837377964682,68.98655356817729,5.912396667282441,0.5776064557224987,0,11,18.876305201825488,0.0167184746166709,31.164093453213937,0.0433014187934106,1.6155,1800816701.8103297,9208918137.562225,811758244.1015211,1218275038.3128839,6330586323.60268,5878119783.123755,8.904155320668472e-05
12.0,0.3272732450876153,5.121533283360474,0.0570662392312311,66.06142793299941,5.912240429661423,1.0009737770934894,0,12,20.036737396718944,0.038041638893251295,27.48312147409642,0.0759639608157525,1.6155,3982397801.3073263,37027119035.49316,1518710370.504641,5216900860.720649,27544846395.055817,12447361604.728523,0.0007758823954224441
13.0,0.3294898647170335,5.171743881150243,0.0537174319639687,66.80195312061389,5.919244335193949,0.5758890320607509,0,13,25.23773830119523,0.049818332350970204,22.638647304648305,0.12316284552140319,1.6155,2977173648.694807,23067645464.11885,1211102535.920717,3201187542.167631,16838996357.937649,9453520804.411562,0.00036883358027614316
14.0,0.3481516849410986,5.3699915380512255,0.055176230572717,69.69011033871755,5.9322007088133795,0.5761341820984275,0,14,23.486356670560518,0.0885276579917326,27.156672689064823,0.1506559837804575,1.6155,2231537425.9587398,11553362438.027857,1023460002.6286585,1530406643.1574643,7955033007.20177,7256153155.198471,9.493551593298604e-05
