scenario,location,tech_type,value
1,PRT-14_1,wind_onshore,0.0040817914319237
1,PRT-15_1,wind_onshore,0.0102400441996447
1,PRT-16_1,wind_onshore,0.0068889755461959
1,PRT-17_1,wind_onshore,9.8479436626972
1,PRT-18_1,wind_onshore,0.0035612765521215
1,PRT-19_1,wind_onshore,0.0020540419751894
1,PRT-20_1,wind_onshore,0.0034319045531572
1,PRT-3_1,wind_onshore,0.4095594147601
1,PRT-4_1,wind_onshore,0.0080985418547116
1,PRT-5_1,wind_onshore,0.0020413788493308
1,PRT-6_1,wind_onshore,0.0153553673621626
1,PRT-7_1,wind_onshore,0.0052086453137301
1,PRT-8_1,wind_onshore,0.0051739861207732
1,PRT_1,battery,0.0486473397535389
1,PRT_2,battery,0.6577772201652999
2,PRT_1,chp_biofuel_extraction,0.0126282596576566
2,PRT_1,chp_biofuel_extraction,0.0193866446140069
2,PRT_2,chp_biofuel_extraction,0.0059081376453261
2,PRT_2,chp_biofuel_extraction,0.0081408513104952
2,PRT_1,chp_hydrogen,0.0022287060921246
2,PRT_1,chp_hydrogen,0.004028407034241
2,PRT_2,chp_hydrogen,0.0028789221341309
2,PRT_2,chp_hydrogen,0.0062902609431807
2,PRT_1,chp_methane_extraction,0.0095633074257825
2,PRT_1,chp_methane_extraction,0.0032168601639067
2,PRT_2,chp_methane_extraction,0.0069479464855493
2,PRT_2,chp_methane_extraction,0.0020255771808571
2,PRT_1,chp_wte_back_pressure,0.0980931741265785
2,PRT_1,chp_wte_back_pressure,0.0029910324857923
2,PRT_2,chp_wte_back_pressure,0.0961594848357091
2,PRT_2,chp_wte_back_pressure,0.0050909412621119
2,PRT_1,electrolysis,1.5385891511201002
2,PRT_2,electrolysis,2.3387990731402
2,PRT-10_1,existing_pv,0.2
2,PRT-12_1,existing_pv,0.1
2,PRT-15_1,existing_pv,0.2
2,PRT-3_1,existing_pv,0.5
2,PRT-9_1,existing_pv,0.1
2,PRT-10_1,existing_wind,0.11
2,PRT-11_1,existing_wind,0.43
2,PRT-12_1,existing_wind,0.1
2,PRT-15_1,existing_wind,0.1199999999998999
2,PRT-16_1,existing_wind,0.03
2,PRT-17_1,existing_wind,0.08
2,PRT-18_1,existing_wind,0.83
2,PRT-19_1,existing_wind,0.7699999999999999
2,PRT-1_1,existing_wind,0.06
2,PRT-20_1,existing_wind,0.82
2,PRT-3_1,existing_wind,0.1399999999999999
2,PRT-4_1,existing_wind,0.35
2,PRT-5_1,existing_wind,0.1799999999999
2,PRT-6_1,existing_wind,0.67
2,PRT-7_1,existing_wind,0.4799999999999
2,PRT-9_1,existing_wind,0.23
2,PRT_1,hydro_reservoir,1.1303999999999998
2,PRT_2,hydro_reservoir,0.205
2,PRT_1,hydro_run_of_river,1.4028
2,PRT_2,hydro_run_of_river,0.2127
2,PRT-10_1,open_field_pv,0.0058944012578002
2,PRT-11_1,open_field_pv,0.0075299159764652
2,PRT-12_1,open_field_pv,0.0083167582717402
2,PRT-14_1,open_field_pv,0.0072147321547275
2,PRT-16_1,open_field_pv,0.0060813102454436
2,PRT-17_1,open_field_pv,0.009919514697754
2,PRT-18_1,open_field_pv,0.0050297837853958
2,PRT-19_1,open_field_pv,0.0057092111960892
2,PRT-20_1,open_field_pv,0.0056150761585792
2,PRT-3_1,open_field_pv,0.0123188449435577
2,PRT-4_1,open_field_pv,0.0074713288248883
2,PRT-5_1,open_field_pv,0.0051654021347987
2,PRT-6_1,open_field_pv,0.0072627286837294
2,PRT-7_1,open_field_pv,0.0055303961660905
2,PRT-8_1,open_field_pv,0.0094733660980644
2,PRT-9_1,open_field_pv,0.027890984614434
2,PRT_1,pumped_hydro,3.126
2,PRT_2,pumped_hydro,0.514
2,PRT-10_1,wind_onshore,0.03340076441727
2,PRT-11_1,wind_onshore,5.5558909503226
2,PRT-12_1,wind_onshore,1.6216816024428
2,PRT-14_1,wind_onshore,0.0120340449197186
2,PRT-15_1,wind_onshore,0.0192569308408583
2,PRT-16_1,wind_onshore,0.0199467902332029
2,PRT-17_1,wind_onshore,2.6556874350824
2,PRT-18_1,wind_onshore,0.0190103676289662
2,PRT-19_1,wind_onshore,0.0117643957123283
2,PRT-1_1,wind_onshore,0.0014967683437303
2,PRT-20_1,wind_onshore,0.0151347748576543
2,PRT-3_1,wind_onshore,3.998587949404
2,PRT-4_1,wind_onshore,0.0213414401096372
2,PRT-5_1,wind_onshore,0.013274501107115
2,PRT-6_1,wind_onshore,0.0301479498625904
2,PRT-7_1,wind_onshore,0.0187232987290884
2,PRT-8_1,wind_onshore,0.0165206128395327
2,PRT-9_1,wind_onshore,9.9996528106406
2,PRT_1,battery,0.0047006203375075
2,PRT_2,battery,0.008358540090254
2,PRT_1,ccgt,0.0031824650152594
2,PRT_2,ccgt,0.0104323856121091
2,PRT-10_1,roof_mounted_pv,0.0030541483468134
2,PRT-11_1,roof_mounted_pv,0.0038140298474053
2,PRT-12_1,roof_mounted_pv,0.0030816073729523
2,PRT-14_1,roof_mounted_pv,0.0031365191352671
2,PRT-15_1,roof_mounted_pv,0.0029471219326149
2,PRT-16_1,roof_mounted_pv,0.0030768551234511
2,PRT-17_1,roof_mounted_pv,0.0030175023762982
2,PRT-18_1,roof_mounted_pv,0.0032268338717731
2,PRT-19_1,roof_mounted_pv,0.0029345828201979
2,PRT-20_1,roof_mounted_pv,0.0033252601266662
