spores,techs,locs,carriers,unit,generated_district_heat
10,chp_biofuel_extraction,PRT_2,heat,twh,0.0020231948983151
10,chp_hydrogen,PRT_1,heat,twh,0.0004281308592238
10,chp_hydrogen,PRT_2,heat,twh,0.0004083608305534
10,chp_methane_extraction,PRT_1,heat,twh,0.0004330112618589
10,chp_methane_extraction,PRT_2,heat,twh,0.0001872122060504
10,chp_wte_back_pressure,PRT_1,heat,twh,0.0001417207240882
10,chp_wte_back_pressure,PRT_2,heat,twh,0.0001519318913063
11,chp_biofuel_extraction,PRT_1,heat,twh,0.0211139196850608
11,chp_biofuel_extraction,PRT_2,heat,twh,0.0108481657799261
11,chp_hydrogen,PRT_1,heat,twh,0.003293356057398
11,chp_hydrogen,PRT_2,heat,twh,0.0034447039581395
11,chp_methane_extraction,PRT_1,heat,twh,0.0038849164540893
11,chp_methane_extraction,PRT_2,heat,twh,0.0032457919274559
11,chp_wte_back_pressure,PRT_1,heat,twh,0.0012516112852714
11,chp_wte_back_pressure,PRT_2,heat,twh,0.0013522407309566
12,chp_biofuel_extraction,PRT_1,heat,twh,0.022902879290207
12,chp_biofuel_extraction,PRT_2,heat,twh,0.0076267209806396
12,chp_hydrogen,PRT_1,heat,twh,0.0024346997162508
12,chp_hydrogen,PRT_2,heat,twh,0.0026371932493995
12,chp_methane_extraction,PRT_1,heat,twh,0.0040446262574436
12,chp_methane_extraction,PRT_2,heat,twh,0.0030258360919797
12,chp_wte_back_pressure,PRT_1,heat,twh,0.0013605546522409
12,chp_wte_back_pressure,PRT_2,heat,twh,0.0015063489766538
13,chp_biofuel_extraction,PRT_1,heat,twh,0.0256976202211357
13,chp_biofuel_extraction,PRT_2,heat,twh,0.0161552347491292
13,chp_hydrogen,PRT_1,heat,twh,0.0046588216808133
13,chp_hydrogen,PRT_2,heat,twh,0.0047898755067489
13,chp_methane_extraction,PRT_1,heat,twh,0.0044074335790631
13,chp_methane_extraction,PRT_2,heat,twh,0.0033946781622262
13,chp_wte_back_pressure,PRT_1,heat,twh,0.0018794021321181
13,chp_wte_back_pressure,PRT_2,heat,twh,0.0020164366196722
14,chp_biofuel_extraction,PRT_1,heat,twh,0.056592354942716
14,chp_biofuel_extraction,PRT_2,heat,twh,0.0443409990294759
14,chp_hydrogen,PRT_1,heat,twh,0.0091392111418193
14,chp_hydrogen,PRT_2,heat,twh,0.0099137725301197
14,chp_methane_extraction,PRT_1,heat,twh,0.0063719339455173
14,chp_methane_extraction,PRT_2,heat,twh,0.005051275785784
14,chp_wte_back_pressure,PRT_1,heat,twh,0.0042621746496636
14,chp_wte_back_pressure,PRT_2,heat,twh,0.0045212465570714
15,chp_biofuel_extraction,PRT_1,heat,twh,0.0586174721920507
15,chp_biofuel_extraction,PRT_2,heat,twh,0.0390492071448528
15,chp_hydrogen,PRT_1,heat,twh,0.010020651975567
15,chp_hydrogen,PRT_2,heat,twh,0.0103818674676677
15,chp_methane_extraction,PRT_1,heat,twh,0.0075772643857154
15,chp_methane_extraction,PRT_2,heat,twh,0.0051162588682336
15,chp_wte_back_pressure,PRT_1,heat,twh,0.0044035303511866
15,chp_wte_back_pressure,PRT_2,heat,twh,0.0046563885402711
16,chp_biofuel_extraction,PRT_1,heat,twh,0.0466671157186854
16,chp_biofuel_extraction,PRT_2,heat,twh,0.0177074803175255
16,chp_hydrogen,PRT_1,heat,twh,0.0048304534037313
16,chp_hydrogen,PRT_2,heat,twh,0.0048638660951017
16,chp_methane_extraction,PRT_1,heat,twh,0.0048303121121227
16,chp_methane_extraction,PRT_2,heat,twh,0.0036682565800018
16,chp_wte_back_pressure,PRT_1,heat,twh,0.0017305335039231
16,chp_wte_back_pressure,PRT_2,heat,twh,0.0018139355518941
17,chp_biofuel_extraction,PRT_1,heat,twh,0.1013752776143225
17,chp_biofuel_extraction,PRT_2,heat,twh,0.0216529852321752
17,chp_hydrogen,PRT_1,heat,twh,0.004125411816695
