spores,techs,locs,carriers,unit,generated_road_transport
0,heavy_transport_ev,PRT_1,transport,billion_km,0.9127245752379064
0,heavy_transport_ev,PRT_2,transport,billion_km,1.1317176889592309
0,heavy_transport_ice,PRT_1,transport,billion_km,6.9369620622075625e-06
0,heavy_transport_ice,PRT_2,transport,billion_km,4.292545329066233e-06
0,light_transport_ev,PRT_1,transport,billion_km,33.991098999948264
0,light_transport_ev,PRT_2,transport,billion_km,36.03957406853914
0,light_transport_ice,PRT_1,transport,billion_km,5.434955202329508e-05
0,light_transport_ice,PRT_2,transport,billion_km,3.4782779934051824e-05
1,heavy_transport_ev,PRT_1,transport,billion_km,0.9130261892419038
1,heavy_transport_ev,PRT_2,transport,billion_km,1.132018370418265
1,heavy_transport_ice,PRT_1,transport,billion_km,3.1630084492708586e-05
1,heavy_transport_ice,PRT_2,transport,billion_km,2.9918305338233e-05
1,light_transport_ev,PRT_1,transport,billion_km,33.9922240284801
1,light_transport_ev,PRT_2,transport,billion_km,36.04069061138459
1,light_transport_ice,PRT_1,transport,billion_km,0.000234589884548
1,light_transport_ice,PRT_2,transport,billion_km,0.0002234347707346
2,heavy_transport_ev,PRT_1,transport,billion_km,0.9132618447709404
2,heavy_transport_ev,PRT_2,transport,billion_km,1.1326873752152546
2,heavy_transport_ice,PRT_1,transport,billion_km,0.0005198103271209
2,heavy_transport_ice,PRT_2,transport,billion_km,8.474920514395358e-05
2,light_transport_ev,PRT_1,transport,billion_km,33.99258883879715
2,light_transport_ev,PRT_2,transport,billion_km,36.04320402628788
2,light_transport_ice,PRT_1,transport,billion_km,0.0027650794337166
2,light_transport_ice,PRT_2,transport,billion_km,0.0006054081915727
3,heavy_transport_ev,PRT_1,transport,billion_km,0.9091495103206704
3,heavy_transport_ev,PRT_2,transport,billion_km,1.13180804941292
3,heavy_transport_ice,PRT_1,transport,billion_km,0.0036958948701472
3,heavy_transport_ice,PRT_2,transport,billion_km,2.782505324108502e-05
3,light_transport_ev,PRT_1,transport,billion_km,33.988828439342555
3,light_transport_ev,PRT_2,transport,billion_km,36.03986572200415
3,light_transport_ice,PRT_1,transport,billion_km,0.0027804473474545
3,light_transport_ice,PRT_2,transport,billion_km,0.0001986755997926
4,heavy_transport_ev,PRT_1,transport,billion_km,0.9128086181798144
4,heavy_transport_ev,PRT_2,transport,billion_km,1.1321160263322567
4,heavy_transport_ice,PRT_1,transport,billion_km,0.0003330821917611
4,heavy_transport_ice,PRT_2,transport,billion_km,1.6143363039476774e-05
4,light_transport_ev,PRT_1,transport,billion_km,33.99096217785019
4,light_transport_ev,PRT_2,transport,billion_km,36.04089382854424
4,light_transport_ice,PRT_1,transport,billion_km,0.00183191705129
4,light_transport_ice,PRT_2,transport,billion_km,0.0003557529076486
5,heavy_transport_ev,PRT_1,transport,billion_km,0.9113890884152572
5,heavy_transport_ev,PRT_2,transport,billion_km,1.1319421917950394
5,heavy_transport_ice,PRT_1,transport,billion_km,0.001611205017637
5,heavy_transport_ice,PRT_2,transport,billion_km,4.857095756438491e-05
5,light_transport_ev,PRT_1,transport,billion_km,33.98852185578521
5,light_transport_ev,PRT_2,transport,billion_km,36.0403388128432
5,light_transport_ice,PRT_1,transport,billion_km,0.0037066194390378
5,light_transport_ice,PRT_2,transport,billion_km,0.0003451520911681
6,heavy_transport_ev,PRT_1,transport,billion_km,0.9118946448263924
6,heavy_transport_ev,PRT_2,transport,billion_km,1.1317041169912294
6,heavy_transport_ice,PRT_1,transport,billion_km,0.0008578743494036
6,heavy_transport_ice,PRT_2,transport,billion_km,3.8871718235879775e-05
6,light_transport_ev,PRT_1,transport,billion_km,33.98857889597558
6,light_transport_ev,PRT_2,transport,billion_km,36.03941278880927
6,light_transport_ice,PRT_1,transport,billion_km,0.0026584556969936
6,light_transport_ice,PRT_2,transport,billion_km,0.0002801027223267
7,heavy_transport_ev,PRT_1,transport,billion_km,0.9133004612005045
7,heavy_transport_ev,PRT_2,transport,billion_km,1.132552824219454
7,heavy_transport_ice,PRT_1,transport,billion_km,0.0003750908742371
7,heavy_transport_ice,PRT_2,transport,billion_km,0.0001131971724348
7,light_transport_ev,PRT_1,transport,billion_km,33.99252634536659
7,light_transport_ev,PRT_2,transport,billion_km,36.04256697031852
7,light_transport_ice,PRT_1,transport,billion_km,0.0024031646622191
7,light_transport_ice,PRT_2,transport,billion_km,0.0008180405929458
8,heavy_transport_ev,PRT_1,transport,billion_km,0.9129405138118492
8,heavy_transport_ev,PRT_2,transport,billion_km,1.1320385915728102
8,heavy_transport_ice,PRT_1,transport,billion_km,0.0001665936605609
8,heavy_transport_ice,PRT_2,transport,billion_km,5.898521479287112e-05
8,light_transport_ev,PRT_1,transport,billion_km,33.99156151266691
8,light_transport_ev,PRT_2,transport,billion_km,36.04067648748256
8,light_transport_ice,PRT_1,transport,billion_km,0.0010942179127846
8,light_transport_ice,PRT_2,transport,billion_km,0.0004347393533237
9,heavy_transport_ev,PRT_1,transport,billion_km,0.9130988824183832
9,heavy_transport_ev,PRT_2,transport,billion_km,1.1323026123287092
9,heavy_transport_ice,PRT_1,transport,billion_km,0.0003038760893159
9,heavy_transport_ice,PRT_2,transport,billion_km,9.061549531871713e-05
9,light_transport_ev,PRT_1,transport,billion_km,33.991966832737845
9,light_transport_ev,PRT_2,transport,billion_km,36.04165843985026
9,light_transport_ice,PRT_1,transport,billion_km,0.0018715035492515
9,light_transport_ice,PRT_2,transport,billion_km,0.0006353965584675
10,heavy_transport_ev,PRT_1,transport,billion_km,0.9125852391653968
10,heavy_transport_ev,PRT_2,transport,billion_km,1.1317667715692434
10,heavy_transport_ice,PRT_1,transport,billion_km,0.0002475924203901
10,heavy_transport_ice,PRT_2,transport,billion_km,5.652932980936474e-05
10,light_transport_ev,PRT_1,transport,billion_km,33.9900103609936
10,light_transport_ev,PRT_2,transport,billion_km,36.03959208482176
10,light_transport_ice,PRT_1,transport,billion_km,0.0015482747646767
10,light_transport_ice,PRT_2,transport,billion_km,0.0004220592589315
11,heavy_transport_ev,PRT_1,transport,billion_km,0.9149252033107502
11,heavy_transport_ev,PRT_2,transport,billion_km,1.1346082791889216
11,heavy_transport_ice,PRT_1,transport,billion_km,0.0011591789636889
11,heavy_transport_ice,PRT_2,transport,billion_km,0.0004665723987838
11,light_transport_ev,PRT_1,transport,billion_km,33.99636970521139
11,light_transport_ev,PRT_2,transport,billion_km,36.04948733315463
11,light_transport_ice,PRT_1,transport,billion_km,0.0081951253993406
11,light_transport_ice,PRT_2,transport,billion_km,0.003533001532107
12,heavy_transport_ev,PRT_1,transport,billion_km,0.6032584890661683
12,heavy_transport_ev,PRT_2,transport,billion_km,1.134820099328283
12,heavy_transport_ice,PRT_1,transport,billion_km,0.3129255352834269
12,heavy_transport_ice,PRT_2,transport,billion_km,0.0003543943353111
12,light_transport_ev,PRT_1,transport,billion_km,33.94497055253792
12,light_transport_ev,PRT_2,transport,billion_km,36.05070058418285
12,light_transport_ice,PRT_1,transport,billion_km,0.0599928394568684
12,light_transport_ice,PRT_2,transport,billion_km,0.0027183167304244
13,heavy_transport_ev,PRT_1,transport,billion_km,0.9147024532768936
13,heavy_transport_ev,PRT_2,transport,billion_km,1.1343629014197796
13,heavy_transport_ice,PRT_1,transport,billion_km,0.00138866012733
13,heavy_transport_ice,PRT_2,transport,billion_km,0.000718681290088
13,light_transport_ev,PRT_1,transport,billion_km,33.99431710213049
13,light_transport_ev,PRT_2,transport,billion_km,36.04735001212377
13,light_transport_ice,PRT_1,transport,billion_km,0.0102746529969867
13,light_transport_ice,PRT_2,transport,billion_km,0.0056972473979501
14,heavy_transport_ev,PRT_1,transport,billion_km,0.9144788239136796
14,heavy_transport_ev,PRT_2,transport,billion_km,1.1340454085844147
14,heavy_transport_ice,PRT_1,transport,billion_km,0.0019507178387385
14,heavy_transport_ice,PRT_2,transport,billion_km,0.001374602489242
14,light_transport_ev,PRT_1,transport,billion_km,33.991521580136535
14,light_transport_ev,PRT_2,transport,billion_km,36.04395182532089
14,light_transport_ice,PRT_1,transport,billion_km,0.0144238903293301
14,light_transport_ice,PRT_2,transport,billion_km,0.0104491479941494
15,heavy_transport_ev,PRT_1,transport,billion_km,0.9134259107609376
15,heavy_transport_ev,PRT_2,transport,billion_km,1.1335821238823425
15,heavy_transport_ice,PRT_1,transport,billion_km,0.0027828597456476
15,heavy_transport_ice,PRT_2,transport,billion_km,0.0016171159385018
15,light_transport_ev,PRT_1,transport,billion_km,33.98465774035493
15,light_transport_ev,PRT_2,transport,billion_km,36.04119404918212
15,light_transport_ice,PRT_1,transport,billion_km,0.0204046436720836
15,light_transport_ice,PRT_2,transport,billion_km,0.01232383904721
16,heavy_transport_ev,PRT_1,transport,billion_km,0.91498031650965
16,heavy_transport_ev,PRT_2,transport,billion_km,1.1347105731457354
16,heavy_transport_ice,PRT_1,transport,billion_km,0.0013982892803068
16,heavy_transport_ice,PRT_2,transport,billion_km,0.0006585019586301
16,light_transport_ev,PRT_1,transport,billion_km,33.996127298515944
16,light_transport_ev,PRT_2,transport,billion_km,36.04946561744996
16,light_transport_ice,PRT_1,transport,billion_km,0.009614426547746
16,light_transport_ice,PRT_2,transport,billion_km,0.0047316099363252
17,heavy_transport_ev,PRT_1,transport,billion_km,0.9158540717297086
17,heavy_transport_ev,PRT_2,transport,billion_km,1.13448179711754
17,heavy_transport_ice,PRT_1,transport,billion_km,0.0001363535509241
17,heavy_transport_ice,PRT_2,transport,billion_km,0.0004990974778497
17,light_transport_ev,PRT_1,transport,billion_km,34.003133917830525
17,light_transport_ev,PRT_2,transport,billion_km,36.04913673494502
17,light_transport_ice,PRT_1,transport,billion_km,0.0010550848549619
17,light_transport_ice,PRT_2,transport,billion_km,0.0035077716234064
18,heavy_transport_ev,PRT_1,transport,billion_km,0.9110306711742262
18,heavy_transport_ev,PRT_2,transport,billion_km,1.131690460739804
18,heavy_transport_ice,PRT_1,transport,billion_km,0.0029758547713128
18,heavy_transport_ice,PRT_2,transport,billion_km,0.0013065345240118
18,light_transport_ev,PRT_1,transport,billion_km,33.97775256823219
18,light_transport_ev,PRT_2,transport,billion_km,36.03525873799057
18,light_transport_ice,PRT_1,transport,billion_km,0.0185008373756351
18,light_transport_ice,PRT_2,transport,billion_km,0.0094501713357512
19,heavy_transport_ev,PRT_1,transport,billion_km,0.9139662756781946
19,heavy_transport_ev,PRT_2,transport,billion_km,1.1343050694524417
19,heavy_transport_ice,PRT_1,transport,billion_km,0.0024109009060128
19,heavy_transport_ice,PRT_2,transport,billion_km,0.0010625764623309
19,light_transport_ev,PRT_1,transport,billion_km,33.98915943678498
19,light_transport_ev,PRT_2,transport,billion_km,36.0466300671048
19,light_transport_ice,PRT_1,transport,billion_km,0.0165765730139817
19,light_transport_ice,PRT_2,transport,billion_km,0.0075614440116139
20,heavy_transport_ev,PRT_1,transport,billion_km,0.5958834322029646
20,heavy_transport_ev,PRT_2,transport,billion_km,1.1327609654735689
20,heavy_transport_ice,PRT_1,transport,billion_km,0.3180946084629976
20,heavy_transport_ice,PRT_2,transport,billion_km,0.0002075445066449
20,light_transport_ev,PRT_1,transport,billion_km,33.961705403026066
20,light_transport_ev,PRT_2,transport,billion_km,36.04309472008795
20,light_transport_ice,PRT_1,transport,billion_km,0.0344340601746991
20,light_transport_ice,PRT_2,transport,billion_km,0.0015002446834357
21,heavy_transport_ev,PRT_1,transport,billion_km,0.9144675310682686
21,heavy_transport_ev,PRT_2,transport,billion_km,1.1344991588591502
21,heavy_transport_ice,PRT_1,transport,billion_km,0.0017997456301315
21,heavy_transport_ice,PRT_2,transport,billion_km,0.0007585871526932
21,light_transport_ev,PRT_1,transport,billion_km,33.99304700927577
21,light_transport_ev,PRT_2,transport,billion_km,36.04810056334114
21,light_transport_ice,PRT_1,transport,billion_km,0.0122493994459624
21,light_transport_ice,PRT_2,transport,billion_km,0.00565134911202
22,heavy_transport_ev,PRT_1,transport,billion_km,0.9131668788041896
22,heavy_transport_ev,PRT_2,transport,billion_km,1.1325878762688415
22,heavy_transport_ice,PRT_1,transport,billion_km,0.0007279977060932
22,heavy_transport_ice,PRT_2,transport,billion_km,0.0002974695504917
22,light_transport_ev,PRT_1,transport,billion_km,33.99105696942247
22,light_transport_ev,PRT_2,transport,billion_km,36.04211693780135
22,light_transport_ice,PRT_1,transport,billion_km,0.0047498384392619
22,light_transport_ice,PRT_2,transport,billion_km,0.0021453673399922
23,heavy_transport_ev,PRT_1,transport,billion_km,0.9086361229711176
23,heavy_transport_ev,PRT_2,transport,billion_km,1.1306031322962236
23,heavy_transport_ice,PRT_1,transport,billion_km,0.0047030507599665
23,heavy_transport_ice,PRT_2,transport,billion_km,0.0017265107576308
23,light_transport_ev,PRT_1,transport,billion_km,33.96234773435408
23,light_transport_ev,PRT_2,transport,billion_km,36.02914094996737
23,light_transport_ice,PRT_1,transport,billion_km,0.0312362618513745
23,light_transport_ice,PRT_2,transport,billion_km,0.0128985516012692
24,heavy_transport_ev,PRT_1,transport,billion_km,0.9146596179331956
24,heavy_transport_ev,PRT_2,transport,billion_km,1.134748565695038
24,heavy_transport_ice,PRT_1,transport,billion_km,0.0017526783167808
24,heavy_transport_ice,PRT_2,transport,billion_km,0.0006541998722113
24,light_transport_ev,PRT_1,transport,billion_km,33.994672515202204
24,light_transport_ev,PRT_2,transport,billion_km,36.04971829067483
24,light_transport_ice,PRT_1,transport,billion_km,0.0112039712949299
24,light_transport_ice,PRT_2,transport,billion_km,0.0046137034374805
25,heavy_transport_ev,PRT_1,transport,billion_km,0.9142867626998772
25,heavy_transport_ev,PRT_2,transport,billion_km,1.133900276582308
25,heavy_transport_ice,PRT_1,transport,billion_km,0.0020512076513806
25,heavy_transport_ice,PRT_2,transport,billion_km,0.0014281630791327
25,light_transport_ev,PRT_1,transport,billion_km,33.99244714014672
25,light_transport_ev,PRT_2,transport,billion_km,36.04374079691792
25,light_transport_ice,PRT_1,transport,billion_km,0.0131320437175856
25,light_transport_ice,PRT_2,transport,billion_km,0.0102938908494906
26,heavy_transport_ev,PRT_1,transport,billion_km,0.912393121636937
26,heavy_transport_ev,PRT_2,transport,billion_km,1.132428882429752
26,heavy_transport_ice,PRT_1,transport,billion_km,0.0027078038544421
26,heavy_transport_ice,PRT_2,transport,billion_km,0.001662512385009
26,light_transport_ev,PRT_1,transport,billion_km,33.982697743295795
26,light_transport_ev,PRT_2,transport,billion_km,36.03754626343418
26,light_transport_ice,PRT_1,transport,billion_km,0.017933262857797
26,light_transport_ice,PRT_2,transport,billion_km,0.011540245484458
27,heavy_transport_ev,PRT_1,transport,billion_km,0.9141118338200434
27,heavy_transport_ev,PRT_2,transport,billion_km,1.133862148810038
27,heavy_transport_ice,PRT_1,transport,billion_km,0.0020517802572079
27,heavy_transport_ice,PRT_2,transport,billion_km,0.0012919345885632
27,light_transport_ev,PRT_1,transport,billion_km,33.98984761168887
27,light_transport_ev,PRT_2,transport,billion_km,36.04362481339422
27,light_transport_ice,PRT_1,transport,billion_km,0.0150341479210553
27,light_transport_ice,PRT_2,transport,billion_km,0.0097124504089456
28,heavy_transport_ev,PRT_1,transport,billion_km,0.914257449136538
28,heavy_transport_ev,PRT_2,transport,billion_km,1.134070426043492
28,heavy_transport_ice,PRT_1,transport,billion_km,0.0020431204222487
28,heavy_transport_ice,PRT_2,transport,billion_km,0.0012206128219886
28,light_transport_ev,PRT_1,transport,billion_km,33.99030570641996
