spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
18,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0024487744458
18,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999507939977006
18,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999507939977006
19,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9994612262548004
19,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9994612262548004
19,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988539024692002
19,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988539024692002
20,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9995895358441
20,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9995895358441
20,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9997233887428
20,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9997233887428
21,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004584590091
21,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004584590091
21,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988457955774
21,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988457955774
22,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9997004461499
22,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9997004461499
22,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9996847803881
22,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9996847803881
23,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000729718450003
23,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000729718450003
23,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9998316729954
23,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9998316729954
24,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9990169815499
24,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9990169815499
24,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9989019434835
24,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9989019434835
25,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999428175964997
25,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999428175964997
25,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9987731864590996
25,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9987731864590996
26,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9992041097706
26,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9992041097706
26,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9995807901808997
26,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9995807901808997
27,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9992837246149
27,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9992837246149
27,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988368078561
27,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988368078561
28,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9991025440654
28,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9991025440654
28,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9993416118429
28,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9993416118429
29,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9990580175043
29,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9990580175043
29,ac_transmission,PRT_1,gw,electricity,PRT_2,3.999041127955
