spores,techs,locs,carriers,unit,storage_capacity
7,hydrogen_storage,PRT_1,hydrogen,twh,5.110741338023022e-05
7,methane_storage,PRT_1,methane,twh,1.785
7,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
7,battery,PRT_2,electricity,twh,1.4638107705355335e-05
7,heat_storage_big,PRT_2,heat,twh,0.0009442866053758
7,heat_storage_small,PRT_2,heat,twh,0.0020017921256699
7,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
7,hydrogen_storage,PRT_2,hydrogen,twh,5.110600081036572e-05
7,methane_storage,PRT_2,methane,twh,1.785
7,pumped_hydro,PRT_2,electricity,twh,0.0058
8,battery,PRT_1,electricity,twh,7.390982384363368e-06
8,heat_storage_big,PRT_1,heat,twh,0.0005753362184957
8,heat_storage_small,PRT_1,heat,twh,0.0006769636908018
8,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
8,hydrogen_storage,PRT_1,hydrogen,twh,3.255288484238729e-05
8,methane_storage,PRT_1,methane,twh,1.785
8,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
8,battery,PRT_2,electricity,twh,1.0717151577906952e-05
8,heat_storage_big,PRT_2,heat,twh,0.0007958629256
8,heat_storage_small,PRT_2,heat,twh,0.0020029028681493
8,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
8,hydrogen_storage,PRT_2,hydrogen,twh,3.254716083365153e-05
8,methane_storage,PRT_2,methane,twh,1.785
8,pumped_hydro,PRT_2,electricity,twh,0.0058
9,battery,PRT_1,electricity,twh,1.499748271961102e-05
9,heat_storage_big,PRT_1,heat,twh,0.0006706624993127
9,heat_storage_small,PRT_1,heat,twh,0.0004624872459978
9,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
9,hydrogen_storage,PRT_1,hydrogen,twh,4.529410314205481e-05
9,methane_storage,PRT_1,methane,twh,1.785
9,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
9,battery,PRT_2,electricity,twh,2.295808736578789e-05
9,heat_storage_big,PRT_2,heat,twh,0.0008761230488654
9,heat_storage_small,PRT_2,heat,twh,0.0020033681724202
9,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
9,hydrogen_storage,PRT_2,hydrogen,twh,4.529254149997246e-05
9,methane_storage,PRT_2,methane,twh,1.785
9,pumped_hydro,PRT_2,electricity,twh,0.0058
10,battery,PRT_1,electricity,twh,7.578178925451704e-06
10,heat_storage_big,PRT_1,heat,twh,0.0015212295134717
10,heat_storage_small,PRT_1,heat,twh,0.0006834778131657
10,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
10,hydrogen_storage,PRT_1,hydrogen,twh,4.94347356445614e-05
10,methane_storage,PRT_1,methane,twh,1.785
10,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
10,battery,PRT_2,electricity,twh,1.0256380474989711e-05
10,heat_storage_big,PRT_2,heat,twh,0.0018669103722498
10,heat_storage_small,PRT_2,heat,twh,0.0020031700121661
10,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
10,hydrogen_storage,PRT_2,hydrogen,twh,4.9412522228227134e-05
10,methane_storage,PRT_2,methane,twh,1.785
10,pumped_hydro,PRT_2,electricity,twh,0.0058
11,battery,PRT_1,electricity,twh,2.96694209425476e-05
11,heat_storage_big,PRT_1,heat,twh,0.0039902121324078
11,heat_storage_small,PRT_1,heat,twh,0.0014081433150694
11,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
11,hydrogen_storage,PRT_1,hydrogen,twh,0.0003055691292186
11,methane_storage,PRT_1,methane,twh,1.785
11,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
11,battery,PRT_2,electricity,twh,5.937213226413712e-05
11,heat_storage_big,PRT_2,heat,twh,0.0058990597294848
11,heat_storage_small,PRT_2,heat,twh,0.0020448755287572
11,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
11,hydrogen_storage,PRT_2,hydrogen,twh,0.000305549154978
11,methane_storage,PRT_2,methane,twh,1.785
11,pumped_hydro,PRT_2,electricity,twh,0.0058
12,battery,PRT_1,electricity,twh,6.541797124134408e-05
12,heat_storage_big,PRT_1,heat,twh,0.0037192224780846
12,heat_storage_small,PRT_1,heat,twh,0.0014016130227357
12,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
12,hydrogen_storage,PRT_1,hydrogen,twh,0.0003175120199903
12,methane_storage,PRT_1,methane,twh,1.785
12,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
12,battery,PRT_2,electricity,twh,0.0007104644241811
12,heat_storage_big,PRT_2,heat,twh,0.0052707740840109
12,heat_storage_small,PRT_2,heat,twh,0.0020837634337788
12,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
12,hydrogen_storage,PRT_2,hydrogen,twh,0.0003174454880809
12,methane_storage,PRT_2,methane,twh,1.785
12,pumped_hydro,PRT_2,electricity,twh,0.0058
13,battery,PRT_1,electricity,twh,2.7712019141143126e-05
13,heat_storage_big,PRT_1,heat,twh,0.0060327408286494
13,heat_storage_small,PRT_1,heat,twh,0.0014396727093901
13,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
13,hydrogen_storage,PRT_1,hydrogen,twh,0.0005640831968722
13,methane_storage,PRT_1,methane,twh,1.785
13,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
13,battery,PRT_2,electricity,twh,0.000341121561135
13,heat_storage_big,PRT_2,heat,twh,0.0098500171091011
13,heat_storage_small,PRT_2,heat,twh,0.0020707913138238
13,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
13,hydrogen_storage,PRT_2,hydrogen,twh,0.0005639797165172
13,methane_storage,PRT_2,methane,twh,1.785
13,pumped_hydro,PRT_2,electricity,twh,0.0058
14,battery,PRT_1,electricity,twh,5.67017369622854e-05
14,heat_storage_big,PRT_1,heat,twh,0.0101004678203127
14,heat_storage_small,PRT_1,heat,twh,0.0024000447431565
14,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
14,hydrogen_storage,PRT_1,hydrogen,twh,0.0013128805984187
14,methane_storage,PRT_1,methane,twh,1.785
14,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
14,battery,PRT_2,electricity,twh,3.823377897070065e-05
14,heat_storage_big,PRT_2,heat,twh,0.0163491452510807
14,heat_storage_small,PRT_2,heat,twh,0.0022765461665139
14,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
14,hydrogen_storage,PRT_2,hydrogen,twh,0.0013124719786453
14,methane_storage,PRT_2,methane,twh,1.785
14,pumped_hydro,PRT_2,electricity,twh,0.0058
15,battery,PRT_1,electricity,twh,7.530719532387566e-05
15,heat_storage_big,PRT_1,heat,twh,0.0144962240559943
15,heat_storage_small,PRT_1,heat,twh,0.0015304214496668
15,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
15,hydrogen_storage,PRT_1,hydrogen,twh,0.0013412462577396
15,methane_storage,PRT_1,methane,twh,1.785
15,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
15,battery,PRT_2,electricity,twh,7.891596559487843e-05
15,heat_storage_big,PRT_2,heat,twh,0.0250683988536585
15,heat_storage_small,PRT_2,heat,twh,0.0021433735415344
15,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
15,hydrogen_storage,PRT_2,hydrogen,twh,0.0013410357960007
15,methane_storage,PRT_2,methane,twh,1.785
15,pumped_hydro,PRT_2,electricity,twh,0.0058
16,battery,PRT_1,electricity,twh,0.0001257371757824
16,heat_storage_big,PRT_1,heat,twh,0.0048919650350017
16,heat_storage_small,PRT_1,heat,twh,0.0014192429320675
16,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
16,hydrogen_storage,PRT_1,hydrogen,twh,0.0004800787593175
16,methane_storage,PRT_1,methane,twh,1.785
16,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
16,battery,PRT_2,electricity,twh,0.0002056477615234
16,heat_storage_big,PRT_2,heat,twh,0.0060548013325636
16,heat_storage_small,PRT_2,heat,twh,0.002049872546223
16,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
16,hydrogen_storage,PRT_2,hydrogen,twh,0.0004800955515637
16,methane_storage,PRT_2,methane,twh,1.785
16,pumped_hydro,PRT_2,electricity,twh,0.0058
17,battery,PRT_1,electricity,twh,1.6343383693560952e-05
17,heat_storage_big,PRT_1,heat,twh,0.0064171723411771
17,heat_storage_small,PRT_1,heat,twh,0.0022435654430592
17,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
17,hydrogen_storage,PRT_1,hydrogen,twh,0.0004593278989934
17,methane_storage,PRT_1,methane,twh,1.785
17,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
17,battery,PRT_2,electricity,twh,1.6305580575050546e-05
17,heat_storage_big,PRT_2,heat,twh,0.0066191422083988
17,heat_storage_small,PRT_2,heat,twh,0.0039327791040571
17,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
17,hydrogen_storage,PRT_2,hydrogen,twh,0.0004593289093195
17,methane_storage,PRT_2,methane,twh,1.785
17,pumped_hydro,PRT_2,electricity,twh,0.0058
18,battery,PRT_1,electricity,twh,0.0001818336997388
18,heat_storage_big,PRT_1,heat,twh,0.0125631966666074
18,heat_storage_small,PRT_1,heat,twh,0.0014317553662024
18,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
18,hydrogen_storage,PRT_1,hydrogen,twh,0.0010760382268142
18,methane_storage,PRT_1,methane,twh,1.785
18,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
18,battery,PRT_2,electricity,twh,0.0006062715288792
18,heat_storage_big,PRT_2,heat,twh,0.0237487368458964
18,heat_storage_small,PRT_2,heat,twh,0.002145673384432
18,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
18,hydrogen_storage,PRT_2,hydrogen,twh,0.0010759116029923
18,methane_storage,PRT_2,methane,twh,1.785
18,pumped_hydro,PRT_2,electricity,twh,0.0058
19,battery,PRT_1,electricity,twh,5.361648819985576e-05
19,heat_storage_big,PRT_1,heat,twh,0.0088302592208657
19,heat_storage_small,PRT_1,heat,twh,0.0014311847981538
19,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
19,hydrogen_storage,PRT_1,hydrogen,twh,0.0009138286411816
19,methane_storage,PRT_1,methane,twh,1.785
19,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
19,battery,PRT_2,electricity,twh,0.0023544174563733
19,heat_storage_big,PRT_2,heat,twh,0.0136100351218957
19,heat_storage_small,PRT_2,heat,twh,0.0020857847291399
19,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
19,hydrogen_storage,PRT_2,hydrogen,twh,0.0009137874913102
19,methane_storage,PRT_2,methane,twh,1.785
19,pumped_hydro,PRT_2,electricity,twh,0.0058
20,battery,PRT_1,electricity,twh,1.0703020223234802e-05
20,heat_storage_big,PRT_1,heat,twh,0.0030306307823047
20,heat_storage_small,PRT_1,heat,twh,0.0013832950754992
20,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
20,hydrogen_storage,PRT_1,hydrogen,twh,0.0001970176802006
20,methane_storage,PRT_1,methane,twh,1.785
20,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
20,battery,PRT_2,electricity,twh,0.0125628356453355
20,heat_storage_big,PRT_2,heat,twh,0.0048503510556424
20,heat_storage_small,PRT_2,heat,twh,0.0020224427926803
20,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
20,hydrogen_storage,PRT_2,hydrogen,twh,0.0001970297680599
20,methane_storage,PRT_2,methane,twh,1.785
20,pumped_hydro,PRT_2,electricity,twh,0.0058
21,battery,PRT_1,electricity,twh,4.10053709995299e-05
21,heat_storage_big,PRT_1,heat,twh,0.0063729546267168
21,heat_storage_small,PRT_1,heat,twh,0.0005441016498527
21,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
21,hydrogen_storage,PRT_1,hydrogen,twh,0.00058035914795
21,methane_storage,PRT_1,methane,twh,1.785
21,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
21,battery,PRT_2,electricity,twh,0.0103991245095681
21,heat_storage_big,PRT_2,heat,twh,0.0104722410376233
21,heat_storage_small,PRT_2,heat,twh,0.002007352068885
21,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
21,hydrogen_storage,PRT_2,hydrogen,twh,0.0005802659720372
21,methane_storage,PRT_2,methane,twh,1.785
21,pumped_hydro,PRT_2,electricity,twh,0.0058
22,battery,PRT_1,electricity,twh,1.0115252913307854e-05
22,heat_storage_big,PRT_1,heat,twh,0.0021432717966726
22,heat_storage_small,PRT_1,heat,twh,0.0001844597453997
22,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
22,hydrogen_storage,PRT_1,hydrogen,twh,0.0002119944477322
22,methane_storage,PRT_1,methane,twh,1.785
22,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
22,battery,PRT_2,electricity,twh,0.0124068117310372
22,heat_storage_big,PRT_2,heat,twh,0.0032621451444581
22,heat_storage_small,PRT_2,heat,twh,0.0020179381156319
22,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
22,hydrogen_storage,PRT_2,hydrogen,twh,0.0002119906305097
22,methane_storage,PRT_2,methane,twh,1.785
22,pumped_hydro,PRT_2,electricity,twh,0.0058
23,battery,PRT_1,electricity,twh,6.426962916931123e-05
23,heat_storage_big,PRT_1,heat,twh,0.0130410975721872
23,heat_storage_small,PRT_1,heat,twh,0.0011258894355652
23,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
23,hydrogen_storage,PRT_1,hydrogen,twh,0.0011803121839689
23,methane_storage,PRT_1,methane,twh,1.785
23,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
23,battery,PRT_2,electricity,twh,0.0088988584754495
23,heat_storage_big,PRT_2,heat,twh,0.0220906436800103
