spores,techs,locs,carriers,unit,nameplate_capacity
1,existing_wind,PRT-4_1,electricity,gw,0.35
1,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
1,existing_wind,PRT-6_1,electricity,gw,0.67
1,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
1,existing_wind,PRT-9_1,electricity,gw,0.23
1,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
1,hydro_reservoir,PRT_2,electricity,gw,0.205
1,hydro_run_of_river,PRT_1,electricity,gw,1.4028
1,hydro_run_of_river,PRT_2,electricity,gw,0.2127
1,open_field_pv,PRT-10_1,electricity,gw,27.056259725351197
1,open_field_pv,PRT-12_1,electricity,gw,0.0024500490522549093
1,open_field_pv,PRT-14_1,electricity,gw,0.003231528121353992
1,open_field_pv,PRT-15_1,electricity,gw,0.0333274791494259
1,open_field_pv,PRT-16_1,electricity,gw,0.002551098603348482
1,open_field_pv,PRT-17_1,electricity,gw,0.00496162898038797
1,open_field_pv,PRT-18_1,electricity,gw,0.0024984273615783646
1,open_field_pv,PRT-19_1,electricity,gw,0.0027757252603724494
1,open_field_pv,PRT-20_1,electricity,gw,0.004365838081254161
1,open_field_pv,PRT-3_1,electricity,gw,17.8447289638308
1,open_field_pv,PRT-4_1,electricity,gw,0.003240806871671413
1,open_field_pv,PRT-5_1,electricity,gw,0.005825030555937454
1,open_field_pv,PRT-7_1,electricity,gw,0.03371068689453739
1,open_field_pv,PRT-8_1,electricity,gw,0.005155276944696991
1,pumped_hydro,PRT_1,electricity,gw,3.126
1,pumped_hydro,PRT_2,electricity,gw,0.514
1,wind_onshore,PRT-10_1,electricity,gw,0.005044348275954064
1,wind_onshore,PRT-11_1,electricity,gw,5.5574507559923
1,wind_onshore,PRT-12_1,electricity,gw,1.9631517982953
1,wind_onshore,PRT-14_1,electricity,gw,0.011360584467828623
1,wind_onshore,PRT-15_1,electricity,gw,0.0013149081142042978
1,wind_onshore,PRT-16_1,electricity,gw,0.0035174501728379337
1,wind_onshore,PRT-17_1,electricity,gw,0.006788238281753708
1,wind_onshore,PRT-18_1,electricity,gw,0.003325295997100583
1,wind_onshore,PRT-19_1,electricity,gw,0.0009310276094847214
1,wind_onshore,PRT-20_1,electricity,gw,0.0012664087419413906
1,wind_onshore,PRT-3_1,electricity,gw,6.895884688878899
1,wind_onshore,PRT-4_1,electricity,gw,0.0019352654611858669
1,wind_onshore,PRT-5_1,electricity,gw,0.001249604303327865
1,wind_onshore,PRT-6_1,electricity,gw,5.2179658312927
1,wind_onshore,PRT-7_1,electricity,gw,0.0017551108081507612
1,wind_onshore,PRT-8_1,electricity,gw,2.4906596024691
2,battery,PRT_1,electricity,gw,0.0009680333468676543
2,battery,PRT_2,electricity,gw,0.0025423101292078847
2,ccgt,PRT_2,electricity,gw,0.38567115614819997
2,chp_biofuel_extraction,PRT_1,electricity,gw,0.0007253684158377364
2,chp_biofuel_extraction,PRT_1,heat,gw,0.001693468124249803
2,chp_biofuel_extraction,PRT_2,heat,gw,0.001086177025319186
2,chp_hydrogen,PRT_1,heat,gw,0.00044953471119147997
2,chp_hydrogen,PRT_2,heat,gw,0.0008092527930725838
2,chp_methane_extraction,PRT_1,heat,gw,0.000509136393374906
2,chp_methane_extraction,PRT_2,heat,gw,0.000575449315464137
2,chp_wte_back_pressure,PRT_1,electricity,gw,0.07596686308923363
2,chp_wte_back_pressure,PRT_1,heat,gw,7.669593636132642e-05
2,chp_wte_back_pressure,PRT_2,electricity,gw,0.07435262353411565
2,chp_wte_back_pressure,PRT_2,heat,gw,0.0001063099355402596
2,electrolysis,PRT_1,hydrogen,gw,0.0008994337053403356
2,electrolysis,PRT_2,hydrogen,gw,3.479327803316
2,existing_pv,PRT-10_1,electricity,gw,0.2
2,existing_pv,PRT-12_1,electricity,gw,0.1
2,existing_pv,PRT-15_1,electricity,gw,0.2
2,existing_pv,PRT-3_1,electricity,gw,0.5
2,existing_pv,PRT-9_1,electricity,gw,0.1
2,existing_wind,PRT-10_1,electricity,gw,0.11
2,existing_wind,PRT-11_1,electricity,gw,0.43
2,existing_wind,PRT-12_1,electricity,gw,0.1
2,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
2,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
2,existing_wind,PRT-17_1,electricity,gw,0.08
2,existing_wind,PRT-18_1,electricity,gw,0.83
2,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
2,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
2,existing_wind,PRT-20_1,electricity,gw,0.82
2,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
2,existing_wind,PRT-4_1,electricity,gw,0.35
2,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
2,existing_wind,PRT-6_1,electricity,gw,0.67
2,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
2,existing_wind,PRT-9_1,electricity,gw,0.23
2,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
2,hydro_reservoir,PRT_2,electricity,gw,0.205
2,hydro_run_of_river,PRT_1,electricity,gw,1.4028
2,hydro_run_of_river,PRT_2,electricity,gw,0.2127
2,open_field_pv,PRT-10_1,electricity,gw,0.0022789996301837466
2,open_field_pv,PRT-11_1,electricity,gw,0.0030658020679666977
2,open_field_pv,PRT-12_1,electricity,gw,0.0007598285447460739
2,open_field_pv,PRT-14_1,electricity,gw,0.0007049652029800205
2,open_field_pv,PRT-15_1,electricity,gw,0.0018156894720779745
2,open_field_pv,PRT-16_1,electricity,gw,0.0006511866896992952
2,open_field_pv,PRT-17_1,electricity,gw,0.0009398439058293572
2,open_field_pv,PRT-18_1,electricity,gw,0.000684629115965991
2,open_field_pv,PRT-20_1,electricity,gw,0.0005278254319602617
2,open_field_pv,PRT-3_1,electricity,gw,0.0030190022958168266
2,open_field_pv,PRT-4_1,electricity,gw,0.0007998484507161859
2,open_field_pv,PRT-5_1,electricity,gw,0.0005529458013517583
2,open_field_pv,PRT-6_1,electricity,gw,0.002476422134257079
2,open_field_pv,PRT-7_1,electricity,gw,0.0014371826785527838
2,open_field_pv,PRT-8_1,electricity,gw,0.0009192645438401432
2,open_field_pv,PRT-9_1,electricity,gw,2.2109133056648
2,pumped_hydro,PRT_1,electricity,gw,3.126
2,pumped_hydro,PRT_2,electricity,gw,0.514
2,wind_onshore,PRT-10_1,electricity,gw,0.0027035076443103906
2,wind_onshore,PRT-11_1,electricity,gw,3.220031516034
2,wind_onshore,PRT-12_1,electricity,gw,1.9626276152083
2,wind_onshore,PRT-14_1,electricity,gw,0.0028063253685033213
2,wind_onshore,PRT-15_1,electricity,gw,0.0014625898461594138
2,wind_onshore,PRT-16_1,electricity,gw,0.0030728224005128757
2,wind_onshore,PRT-17_1,electricity,gw,0.0026983505032687843
2,wind_onshore,PRT-18_1,electricity,gw,0.0021356437198844927
2,wind_onshore,PRT-19_1,electricity,gw,0.0008533704461119345
2,wind_onshore,PRT-20_1,electricity,gw,0.001155066697497236
2,wind_onshore,PRT-3_1,electricity,gw,0.0036947301493374268
2,wind_onshore,PRT-4_1,electricity,gw,0.0017830282458707373
2,wind_onshore,PRT-5_1,electricity,gw,0.001012245531221319
2,wind_onshore,PRT-6_1,electricity,gw,0.003393240946752465
2,wind_onshore,PRT-7_1,electricity,gw,0.0014680846804501358
2,wind_onshore,PRT-8_1,electricity,gw,0.00333547625822362
2,wind_onshore,PRT-9_1,electricity,gw,20.0908275489329
3,battery,PRT_2,electricity,gw,0.0010422959845259542
3,ccgt,PRT_2,electricity,gw,0.7656842207763
3,chp_biofuel_extraction,PRT_1,electricity,gw,0.0005366235051982098
3,chp_biofuel_extraction,PRT_1,heat,gw,0.000906123038707672
3,chp_biofuel_extraction,PRT_2,heat,gw,0.0003552592336235644
3,chp_hydrogen,PRT_1,heat,gw,0.000107118401493782
3,chp_hydrogen,PRT_2,heat,gw,0.00023201272464990969
3,chp_methane_extraction,PRT_1,heat,gw,0.00011330678693391978
3,chp_methane_extraction,PRT_2,heat,gw,0.00010284195845847615
3,chp_wte_back_pressure,PRT_1,electricity,gw,0.07619957899952548
3,chp_wte_back_pressure,PRT_1,heat,gw,2.3079757809490348e-05
3,chp_wte_back_pressure,PRT_2,electricity,gw,0.07457779367232988
3,chp_wte_back_pressure,PRT_2,heat,gw,3.0800424125103835e-05
3,electrolysis,PRT_1,hydrogen,gw,3.2881255602826998
3,electrolysis,PRT_2,hydrogen,gw,0.0010903236184756683
3,existing_pv,PRT-10_1,electricity,gw,0.2
3,existing_pv,PRT-12_1,electricity,gw,0.1
3,existing_pv,PRT-15_1,electricity,gw,0.2
3,existing_pv,PRT-3_1,electricity,gw,0.5
3,existing_pv,PRT-9_1,electricity,gw,0.1
3,existing_wind,PRT-10_1,electricity,gw,0.11
3,existing_wind,PRT-11_1,electricity,gw,0.43
3,existing_wind,PRT-12_1,electricity,gw,0.1
