spores,unit,import_dependency
220,non-dimensional,0.0020070650006844717
221,non-dimensional,0.051028229091293294
222,non-dimensional,0.05823686170389874
223,non-dimensional,0.04305571516534128
224,non-dimensional,0.05843847813013213
225,non-dimensional,0.04724291132187916
226,non-dimensional,0.057115047170169755
227,non-dimensional,0.048394778244907816
228,non-dimensional,0.05653255291199062
229,non-dimensional,0.04409993157764725
230,non-dimensional,0.055271354240754286
231,non-dimensional,0.02493147508951675
232,non-dimensional,0.03066318386386658
233,non-dimensional,0.04557320336249777
234,non-dimensional,0.02984981967252547
235,non-dimensional,0.04136113373607661
236,non-dimensional,0.030641981994343245
237,non-dimensional,0.039196490685809944
238,non-dimensional,0.04239016540223312
239,non-dimensional,0.028295862557668573
240,non-dimensional,0.03429843323254861
241,non-dimensional,0.0636512305961695
242,non-dimensional,0.07149247358988942
243,non-dimensional,0.08089440299087966
244,non-dimensional,0.07223019723275156
245,non-dimensional,0.06948145206711821
246,non-dimensional,0.07148955017272547
247,non-dimensional,0.06289043383420058
248,non-dimensional,0.07072510312630553
249,non-dimensional,0.06982168166538252
250,non-dimensional,0.08078904423422266
251,non-dimensional,0.04243397490965606
252,non-dimensional,0.03837895408046035
253,non-dimensional,0.044227699380886096
254,non-dimensional,0.038976044699716036
255,non-dimensional,0.034191764902361456
256,non-dimensional,0.04143990386497065
257,non-dimensional,0.032578013236874
258,non-dimensional,0.04090779247791948
259,non-dimensional,0.032651726830434775
260,non-dimensional,0.03981346684827865
