spores,unit,deployment_acceleration_rate
186,non-dimensional,8.364123925428439
187,non-dimensional,8.36423512459836
188,non-dimensional,8.363024976919256
189,non-dimensional,8.36398465462216
190,non-dimensional,8.362853346166947
191,non-dimensional,8.353323436447052
192,non-dimensional,8.360675726865129
193,non-dimensional,8.366313893693315
194,non-dimensional,8.363703433042428
195,non-dimensional,8.365415430284582
196,non-dimensional,8.363842006989556
197,non-dimensional,8.364576065938838
198,non-dimensional,8.364545744397768
199,non-dimensional,8.363073900794461
200,non-dimensional,8.363577549833284
201,non-dimensional,8.1075979307453
202,non-dimensional,8.089106889935959
203,non-dimensional,8.098254101396098
204,non-dimensional,8.089186178512117
205,non-dimensional,8.098258566287122
206,non-dimensional,8.089109542367737
207,non-dimensional,8.098137658125417
208,non-dimensional,8.089150231860888
209,non-dimensional,8.098219650361262
210,non-dimensional,8.089276355962943
211,non-dimensional,10.703541574860976
212,non-dimensional,10.685781600349285
213,non-dimensional,10.704240583224417
214,non-dimensional,10.686616119640297
215,non-dimensional,10.706543598457907
216,non-dimensional,10.6872135788991
217,non-dimensional,10.704872873725263
218,non-dimensional,10.683834031258467
219,non-dimensional,10.707042355587841
220,non-dimensional,10.68813394525557
221,non-dimensional,6.676550683963359
222,non-dimensional,6.491791176507783
223,non-dimensional,6.559100785620205
224,non-dimensional,6.5418355028219075
225,non-dimensional,6.680882100886223
226,non-dimensional,6.5365374520888
227,non-dimensional,6.673552266045673
228,non-dimensional,6.445927498643411
229,non-dimensional,6.551349915709005
230,non-dimensional,6.4654089846001135
231,non-dimensional,8.67138837840489
232,non-dimensional,9.091959881703326
233,non-dimensional,9.515988902099997
234,non-dimensional,8.868504000990521
235,non-dimensional,9.05949951804582
236,non-dimensional,9.072150899704456
237,non-dimensional,9.555051767837854
238,non-dimensional,9.508068394838002
239,non-dimensional,9.020687594420455
240,non-dimensional,9.05236456911623
241,non-dimensional,7.617791852387161
242,non-dimensional,7.521532821721662
243,non-dimensional,7.721897617165531
244,non-dimensional,7.469157991096823
245,non-dimensional,7.496254857501614
246,non-dimensional,7.485902043871029
247,non-dimensional,7.7111683879343
248,non-dimensional,7.4921614195088955
249,non-dimensional,7.490057433789669
250,non-dimensional,7.723183200543444
251,non-dimensional,8.486373574759243
252,non-dimensional,8.901197587774496
253,non-dimensional,8.478606223404086
254,non-dimensional,8.513798826524502
255,non-dimensional,8.854834562145054
256,non-dimensional,8.47206261285309
257,non-dimensional,8.775197113094398
258,non-dimensional,8.482013002513568
259,non-dimensional,8.76271878564394
260,non-dimensional,8.474453921639805
