spores,techs,locs,carriers,unit,nameplate_capacity
1,existing_wind,PRT-18_1,electricity,gw,0.83
1,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
1,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
1,existing_wind,PRT-20_1,electricity,gw,0.82
1,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
1,existing_wind,PRT-4_1,electricity,gw,0.35
1,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
1,existing_wind,PRT-6_1,electricity,gw,0.67
1,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
1,existing_wind,PRT-9_1,electricity,gw,0.23
1,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
1,hydro_reservoir,PRT_2,electricity,gw,0.205
1,hydro_run_of_river,PRT_1,electricity,gw,1.4028
1,hydro_run_of_river,PRT_2,electricity,gw,0.2127
1,open_field_pv,PRT-12_1,electricity,gw,7.441697249924401
1,open_field_pv,PRT-14_1,electricity,gw,0.024141303731759968
1,open_field_pv,PRT-15_1,electricity,gw,0.7995204898083
1,open_field_pv,PRT-16_1,electricity,gw,0.013089675506421875
1,open_field_pv,PRT-18_1,electricity,gw,0.011837569169127028
1,open_field_pv,PRT-19_1,electricity,gw,9.2778582746485
1,open_field_pv,PRT-20_1,electricity,gw,9.9999985486031
1,open_field_pv,PRT-4_1,electricity,gw,0.060020269624546145
1,open_field_pv,PRT-5_1,electricity,gw,9.999699291222301
1,open_field_pv,PRT-8_1,electricity,gw,9.99032519527
1,pumped_hydro,PRT_1,electricity,gw,3.126
1,pumped_hydro,PRT_2,electricity,gw,0.514
1,wind_onshore,PRT-10_1,electricity,gw,5.8083036523506
1,wind_onshore,PRT-11_1,electricity,gw,5.5576691113606
1,wind_onshore,PRT-12_1,electricity,gw,0.340763078363
1,wind_onshore,PRT-14_1,electricity,gw,0.0040817914319237186
1,wind_onshore,PRT-15_1,electricity,gw,0.010240044199644775
1,wind_onshore,PRT-16_1,electricity,gw,0.006888975546195959
1,wind_onshore,PRT-17_1,electricity,gw,9.847943662697201
1,wind_onshore,PRT-18_1,electricity,gw,0.0035612765521215437
1,wind_onshore,PRT-19_1,electricity,gw,0.0020540419751894426
1,wind_onshore,PRT-20_1,electricity,gw,0.0034319045531572864
1,wind_onshore,PRT-3_1,electricity,gw,0.4095594147601
1,wind_onshore,PRT-4_1,electricity,gw,0.008098541854711627
1,wind_onshore,PRT-5_1,electricity,gw,0.0020413788493308105
1,wind_onshore,PRT-6_1,electricity,gw,0.015355367362162673
1,wind_onshore,PRT-7_1,electricity,gw,0.005208645313730123
1,wind_onshore,PRT-8_1,electricity,gw,0.005173986120773241
2,battery,PRT_1,electricity,gw,0.004700620337507527
2,battery,PRT_2,electricity,gw,0.008358540090254081
2,ccgt,PRT_1,electricity,gw,0.0031824650152594528
2,ccgt,PRT_2,electricity,gw,0.010432385612109126
2,chp_biofuel_extraction,PRT_1,electricity,gw,0.012628259657656604
2,chp_biofuel_extraction,PRT_1,heat,gw,0.01938664461400697
2,chp_biofuel_extraction,PRT_2,electricity,gw,0.005908137645326154
2,chp_biofuel_extraction,PRT_2,heat,gw,0.008140851310495268
2,chp_hydrogen,PRT_1,electricity,gw,0.002228706092124607
2,chp_hydrogen,PRT_1,heat,gw,0.004028407034241003
2,chp_hydrogen,PRT_2,electricity,gw,0.002878922134130969
2,chp_hydrogen,PRT_2,heat,gw,0.006290260943180771
2,chp_methane_extraction,PRT_1,electricity,gw,0.009563307425782524
2,chp_methane_extraction,PRT_1,heat,gw,0.0032168601639067326
2,chp_methane_extraction,PRT_2,electricity,gw,0.006947946485549331
2,chp_methane_extraction,PRT_2,heat,gw,0.0020255771808571498
2,chp_wte_back_pressure,PRT_1,electricity,gw,0.09809317412657852
2,chp_wte_back_pressure,PRT_1,heat,gw,0.002991032485792336
2,chp_wte_back_pressure,PRT_2,electricity,gw,0.09615948483570916
2,chp_wte_back_pressure,PRT_2,heat,gw,0.005090941262111989
2,electrolysis,PRT_1,hydrogen,gw,1.5385891511201002
2,electrolysis,PRT_2,hydrogen,gw,2.3387990731402
2,existing_pv,PRT-10_1,electricity,gw,0.2
2,existing_pv,PRT-12_1,electricity,gw,0.1
2,existing_pv,PRT-15_1,electricity,gw,0.2
2,existing_pv,PRT-3_1,electricity,gw,0.5
2,existing_pv,PRT-9_1,electricity,gw,0.1
2,existing_wind,PRT-10_1,electricity,gw,0.11
2,existing_wind,PRT-11_1,electricity,gw,0.43
2,existing_wind,PRT-12_1,electricity,gw,0.1
2,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
2,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
2,existing_wind,PRT-17_1,electricity,gw,0.08
2,existing_wind,PRT-18_1,electricity,gw,0.83
2,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
2,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
2,existing_wind,PRT-20_1,electricity,gw,0.82
2,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
2,existing_wind,PRT-4_1,electricity,gw,0.35
2,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
2,existing_wind,PRT-6_1,electricity,gw,0.67
2,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
2,existing_wind,PRT-9_1,electricity,gw,0.23
2,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
2,hydro_reservoir,PRT_2,electricity,gw,0.205
2,hydro_run_of_river,PRT_1,electricity,gw,1.4028
2,hydro_run_of_river,PRT_2,electricity,gw,0.2127
2,open_field_pv,PRT-10_1,electricity,gw,0.005894401257800275
2,open_field_pv,PRT-11_1,electricity,gw,0.00752991597646529
2,open_field_pv,PRT-12_1,electricity,gw,0.008316758271740275
2,open_field_pv,PRT-14_1,electricity,gw,0.007214732154727599
2,open_field_pv,PRT-16_1,electricity,gw,0.006081310245443629
2,open_field_pv,PRT-17_1,electricity,gw,0.009919514697754024
2,open_field_pv,PRT-18_1,electricity,gw,0.00502978378539582
2,open_field_pv,PRT-19_1,electricity,gw,0.005709211196089241
2,open_field_pv,PRT-20_1,electricity,gw,0.005615076158579215
2,open_field_pv,PRT-3_1,electricity,gw,0.012318844943557731
2,open_field_pv,PRT-4_1,electricity,gw,0.007471328824888356
2,open_field_pv,PRT-5_1,electricity,gw,0.005165402134798705
2,open_field_pv,PRT-6_1,electricity,gw,0.00726272868372949
2,open_field_pv,PRT-7_1,electricity,gw,0.005530396166090501
2,open_field_pv,PRT-8_1,electricity,gw,0.009473366098064432
2,open_field_pv,PRT-9_1,electricity,gw,0.027890984614434053
2,pumped_hydro,PRT_1,electricity,gw,3.126
2,pumped_hydro,PRT_2,electricity,gw,0.514
