,unit,max_regional_share
0,fraction,0.7132298000553371
1,fraction,0.4470166177079818
2,fraction,0.41555179526550934
3,fraction,0.38912059957679634
4,fraction,0.35562297449435754
5,fraction,0.3686218637947931
6,fraction,0.3723009986178894
7,fraction,0.3972872398253598
8,fraction,0.4118650176239054
9,fraction,0.3850991102035329
10,fraction,0.3207290559835225
11,fraction,0.4079825341472339
12,fraction,0.39909737764096564
13,fraction,0.36865487071379793
14,fraction,0.37529178557043025
15,fraction,0.3851182415892262
16,fraction,0.42954600912374286
17,fraction,0.39788782577410325
18,fraction,0.3962179094265961
19,fraction,0.40234346346378297
20,fraction,0.38672559720549815
21,fraction,0.376952867490595
22,fraction,0.36225010205705444
23,fraction,0.37797154093846425
24,fraction,0.399573469289254
25,fraction,0.4285760337209807
26,fraction,0.3199968980926056
27,fraction,0.3105883754027434
28,fraction,0.40010632399531343
29,fraction,0.32957836134132384
30,fraction,0.40365978660892093
31,fraction,0.31201047642812924
32,fraction,0.4066792899770294
33,fraction,0.31719979243978597
34,fraction,0.40354540222061164
35,fraction,0.29903561538791174
36,fraction,0.40456282027119245
37,fraction,0.3989178735297566
38,fraction,0.3788600455765164
39,fraction,0.34607514147542584
40,fraction,0.5603840225446501
41,fraction,0.6188548335255205
42,fraction,0.6255054778521149
43,fraction,0.615663069966878
44,fraction,0.6260830184810997
45,fraction,0.6084392819396219
46,fraction,0.5831062039636865
47,fraction,0.5741495746472722
48,fraction,0.5983530546982176
49,fraction,0.6394045453170869
50,fraction,0.7904432091843667
51,fraction,0.4319582290031986
52,fraction,0.3880535507345337
53,fraction,0.39861198410543003
54,fraction,0.45431875281698253
55,fraction,0.4660313464348193
56,fraction,0.4202858779951783
57,fraction,0.44205541258345754
58,fraction,0.3871324005062733
59,fraction,0.3638437060964587
60,fraction,0.3866219890646947
61,fraction,0.4173061503162277
62,fraction,0.3958577269543797
63,fraction,0.37740027916204094
64,fraction,0.401027551530309
65,fraction,0.45907185832795117
66,fraction,0.4803388345683221
67,fraction,0.5504127973251751
68,fraction,0.5199184152254086
69,fraction,0.9817286982302408
70,fraction,0.713433827567412
71,fraction,0.43808727588484503
72,fraction,0.3867574638252187
73,fraction,0.3977951960232121
74,fraction,0.40867270591370153
75,fraction,0.4657612433692363
76,fraction,0.4838105898808571
77,fraction,0.3542387118733239
78,fraction,0.5660285906163708
79,fraction,0.8070466192307778
80,fraction,0.9176632895598527
81,fraction,0.3023660865965167
82,fraction,0.3052081909784481
