spores,unit,deployment_acceleration_rate
185,non-dimensional,5.8372304722004875
186,non-dimensional,5.62790475658908
187,non-dimensional,5.707741628137332
188,non-dimensional,5.44058744277075
189,non-dimensional,5.579306526694572
190,non-dimensional,5.478071786783297
191,non-dimensional,5.547716238886834
192,non-dimensional,5.998780533801149
193,non-dimensional,5.935640648570045
194,non-dimensional,6.013822881714922
195,non-dimensional,5.879134778280966
196,non-dimensional,5.781727366947204
197,non-dimensional,5.635250990575975
198,non-dimensional,5.509602632944308
199,non-dimensional,5.644538234209748
200,non-dimensional,5.469226300502001
201,non-dimensional,6.051677390244793
202,non-dimensional,5.940005540991773
203,non-dimensional,5.889525132548085
204,non-dimensional,5.841601554206719
205,non-dimensional,5.593156121598762
206,non-dimensional,5.624870284572916
207,non-dimensional,5.559781018312019
208,non-dimensional,5.385684439467728
209,non-dimensional,5.2602834097973235
210,non-dimensional,5.165978366566349
211,non-dimensional,7.927767242172309
212,non-dimensional,7.653899961828321
213,non-dimensional,7.15706800617821
214,non-dimensional,6.845430762950466
215,non-dimensional,6.8251586296914
216,non-dimensional,6.725418418800122
217,non-dimensional,6.561503612423374
218,non-dimensional,5.857011870522275
219,non-dimensional,5.971852957487079
220,non-dimensional,5.921838547830666
221,non-dimensional,6.970245683088646
222,non-dimensional,6.470186268344399
223,non-dimensional,6.0653915743170606
224,non-dimensional,5.946055038996597
225,non-dimensional,6.077103335674612
226,non-dimensional,5.955872075176311
227,non-dimensional,5.449509612579476
228,non-dimensional,5.103539323311015
229,non-dimensional,5.138616013327284
230,non-dimensional,5.278981134051288
231,non-dimensional,8.975099368996707
232,non-dimensional,9.128577272379482
233,non-dimensional,9.603493760355718
234,non-dimensional,9.50537145692293
235,non-dimensional,9.315551326347714
236,non-dimensional,9.180038106270207
237,non-dimensional,9.683239691798278
238,non-dimensional,9.515490349296151
239,non-dimensional,9.832576873415293
240,non-dimensional,9.808962598181378
241,non-dimensional,7.8518547610369955
242,non-dimensional,7.606229615286889
243,non-dimensional,7.578675634513852
244,non-dimensional,7.557962202759472
245,non-dimensional,7.547081696226491
246,non-dimensional,7.540655894666451
247,non-dimensional,7.536844472464499
248,non-dimensional,7.535788915951163
249,non-dimensional,7.534809821914256
250,non-dimensional,7.534901295257765
251,non-dimensional,8.80726877309339
252,non-dimensional,8.801680401734721
253,non-dimensional,8.805075793409701
254,non-dimensional,8.806382860561776
255,non-dimensional,8.804773447646738
256,non-dimensional,8.808263235545864
257,non-dimensional,8.80565666307492
258,non-dimensional,8.80747311290152
259,non-dimensional,8.803796281396469
260,non-dimensional,8.809042710485288
