spores,techs,locs,carriers,unit,generated_road_transport
10,heavy_transport_ice,PRT_1,transport,billion_km,0.0065449882947256
10,heavy_transport_ice,PRT_2,transport,billion_km,0.0021376055359916
10,light_transport_ev,PRT_1,transport,billion_km,37.648860930739176
10,light_transport_ev,PRT_2,transport,billion_km,39.90936545099864
10,light_transport_ice,PRT_1,transport,billion_km,0.0400023618400717
10,light_transport_ice,PRT_2,transport,billion_km,0.0147739317073097
11,heavy_transport_ev,PRT_1,transport,billion_km,0.7738120689328951
11,heavy_transport_ev,PRT_2,transport,billion_km,1.256531158719555
11,heavy_transport_ice,PRT_1,transport,billion_km,0.310051424655113
11,heavy_transport_ice,PRT_2,transport,billion_km,0.0008260170475426
11,light_transport_ev,PRT_1,transport,billion_km,37.44279538714581
11,light_transport_ev,PRT_2,transport,billion_km,39.91807077759347
11,light_transport_ice,PRT_1,transport,billion_km,0.2460542937392266
11,light_transport_ice,PRT_2,transport,billion_km,0.0060549928620654
12,heavy_transport_ev,PRT_1,transport,billion_km,1.0776041121922757
12,heavy_transport_ev,PRT_2,transport,billion_km,1.254854307184332
12,heavy_transport_ice,PRT_1,transport,billion_km,0.0062693508701142
12,heavy_transport_ice,PRT_2,transport,billion_km,0.0025128380484289
12,light_transport_ev,PRT_1,transport,billion_km,37.648330427480566
12,light_transport_ev,PRT_2,transport,billion_km,39.90643789550765
12,light_transport_ice,PRT_1,transport,billion_km,0.0405591312138892
12,light_transport_ice,PRT_2,transport,billion_km,0.017727753996153
13,heavy_transport_ev,PRT_1,transport,billion_km,1.0799380633717774
13,heavy_transport_ev,PRT_2,transport,billion_km,1.2555789907041968
13,heavy_transport_ice,PRT_1,transport,billion_km,0.003925806872962
13,heavy_transport_ice,PRT_2,transport,billion_km,0.0017785617084594
13,light_transport_ev,PRT_1,transport,billion_km,37.66294410531937
13,light_transport_ev,PRT_2,transport,billion_km,39.9116732874869
13,light_transport_ice,PRT_1,transport,billion_km,0.0259070813014911
13,light_transport_ice,PRT_2,transport,billion_km,0.0124539894297034
14,heavy_transport_ev,PRT_1,transport,billion_km,1.078694204745222
14,heavy_transport_ev,PRT_2,transport,billion_km,1.2549423751571056
14,heavy_transport_ice,PRT_1,transport,billion_km,0.0051798879370153
14,heavy_transport_ice,PRT_2,transport,billion_km,0.0024253996943785
14,light_transport_ev,PRT_1,transport,billion_km,37.655181229476426
14,light_transport_ev,PRT_2,transport,billion_km,39.90741890530559
14,light_transport_ice,PRT_1,transport,billion_km,0.0337108468119606
14,light_transport_ice,PRT_2,transport,billion_km,0.016749261750852
15,heavy_transport_ev,PRT_1,transport,billion_km,1.0765775350542142
15,heavy_transport_ev,PRT_2,transport,billion_km,1.255058840487827
15,heavy_transport_ice,PRT_1,transport,billion_km,0.0072917531181251
15,heavy_transport_ice,PRT_2,transport,billion_km,0.0023041298532303
15,light_transport_ev,PRT_1,transport,billion_km,37.64235259065119
15,light_transport_ev,PRT_2,transport,billion_km,39.907867914692815
15,light_transport_ice,PRT_1,transport,billion_km,0.046520267767859
15,light_transport_ice,PRT_2,transport,billion_km,0.0162810343807456
16,heavy_transport_ev,PRT_1,transport,billion_km,0.7718173891684668
16,heavy_transport_ev,PRT_2,transport,billion_km,1.2562000804833953
16,heavy_transport_ice,PRT_1,transport,billion_km,0.312047434101049
16,heavy_transport_ice,PRT_2,transport,billion_km,0.0011584249595537
16,light_transport_ev,PRT_1,transport,billion_km,37.53790046855968
16,light_transport_ev,PRT_2,transport,billion_km,39.91586109728155
16,light_transport_ice,PRT_1,transport,billion_km,0.150954531116708
16,light_transport_ice,PRT_2,transport,billion_km,0.0082699920463445
17,heavy_transport_ev,PRT_1,transport,billion_km,1.0774461475757011
17,heavy_transport_ev,PRT_2,transport,billion_km,1.2541416542028772
17,heavy_transport_ice,PRT_1,transport,billion_km,0.0064195792543666
17,heavy_transport_ice,PRT_2,transport,billion_km,0.003217754799542
17,light_transport_ev,PRT_1,transport,billion_km,37.64755610277025
17,light_transport_ev,PRT_2,transport,billion_km,39.9021891627455
17,light_transport_ice,PRT_1,transport,billion_km,0.0413025106073862
17,light_transport_ice,PRT_2,transport,billion_km,0.0219455412558555
