spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
18,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0011961739462003
18,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998530894
18,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998530894
19,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000348933643
19,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000348933643
19,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997807788996
19,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997807788996
20,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0019408239853
20,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0019408239853
20,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999996979029997
20,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999996979029997
21,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0010840760566
21,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0010840760566
21,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000002324346005
21,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000002324346005
22,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0023006871322
22,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0023006871322
22,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000003159904
22,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000003159904
23,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0009552206532
23,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0009552206532
23,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999949431350004
23,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999949431350004
24,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0014859319880003
24,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0014859319880003
24,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000002078814
24,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000002078814
25,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003972712883002
25,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003972712883002
25,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000006797159
25,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000006797159
26,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0027700929704
26,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0027700929704
26,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999967440547004
26,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999967440547004
27,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003119526708
27,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003119526708
27,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997362736996
27,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997362736996
28,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003034899738
28,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003034899738
28,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999949150342
28,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999949150342
29,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0009457185192
29,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0009457185192
29,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000129042676
29,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000129042676
30,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0006956050788
30,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0006956050788
30,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998711261
30,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998711261
31,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0077326447262
31,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0077326447262
31,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998929784
31,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998929784
32,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004037509156003
32,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004037509156003
32,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999964360002
32,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999964360002
33,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0059298803923
33,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0059298803923
33,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999993453575002
33,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999993453575002
34,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.001582306284
34,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.001582306284
34,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998540236996
34,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998540236996
35,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0020382529426
35,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0020382529426
35,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999269992004
35,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999269992004
36,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0027671519969
36,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0027671519969
36,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998289394005
36,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998289394005
37,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004126050302
37,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004126050302
37,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999481405997
37,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999481405997
38,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0002884579683
38,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0002884579683
38,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999878907
38,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999878907
39,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000010160049997
39,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000010160049997
39,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997984929996
39,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997984929996
40,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000999581114
40,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000999581114
40,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000001299417599
40,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000001299417599
41,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0010985250599
41,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0010985250599
41,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997402834
41,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997402834
42,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0012868348
42,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0012868348
42,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999853254
42,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999853254
