spores,unit,import_dependency
177,non-dimensional,0.06486073586487233
178,non-dimensional,0.057268440766944866
179,non-dimensional,0.06575128045674465
180,non-dimensional,0.06300616908216146
181,non-dimensional,0.0002647165327543229
182,non-dimensional,0.0002373086684209895
183,non-dimensional,0.0001829492548787369
184,non-dimensional,0.0002681780593035485
185,non-dimensional,0.00032299142637968315
186,non-dimensional,0.00018927103781004264
187,non-dimensional,0.0038809445992097538
188,non-dimensional,0.013727327991410871
189,non-dimensional,0.017192169798052787
190,non-dimensional,0.017380397797562595
191,non-dimensional,0.00025771465476406673
192,non-dimensional,0.00023932464637169024
193,non-dimensional,0.00017807436008580396
194,non-dimensional,0.00029840794558405327
195,non-dimensional,0.0002578131261218182
196,non-dimensional,0.0001958467187594028
197,non-dimensional,0.0025660515801658977
198,non-dimensional,0.016086810366068596
199,non-dimensional,0.012556849274648717
200,non-dimensional,0.016854476073007905
201,non-dimensional,0.029915010844856024
202,non-dimensional,0.03009717151256013
203,non-dimensional,0.03172873543605586
204,non-dimensional,0.03519515883725024
205,non-dimensional,0.029350922619901413
206,non-dimensional,0.033061956902809476
207,non-dimensional,0.035416590246937586
208,non-dimensional,0.040019731524830224
209,non-dimensional,0.045801930800089034
210,non-dimensional,0.05062376937320553
211,non-dimensional,0.00036143409311744
212,non-dimensional,0.000976902765165747
213,non-dimensional,0.002508424047594805
214,non-dimensional,0.025800811458651384
215,non-dimensional,0.025168242400761955
216,non-dimensional,0.02694420553676056
217,non-dimensional,0.03179208103263647
218,non-dimensional,0.06815551444837252
219,non-dimensional,0.06986537868097152
220,non-dimensional,0.0712982035507279
221,non-dimensional,0.04345205122008885
222,non-dimensional,0.04173788632855886
223,non-dimensional,0.0571248907175788
224,non-dimensional,0.0669027596952357
225,non-dimensional,0.07053745470017735
226,non-dimensional,0.07304659482103885
227,non-dimensional,0.07781624329661754
228,non-dimensional,0.0819473736926235
229,non-dimensional,0.07597060582480607
230,non-dimensional,0.07283014388311511
231,non-dimensional,0.017755110567634413
232,non-dimensional,0.012687620320159883
233,non-dimensional,0.028997032839912222
234,non-dimensional,0.01906908781056591
235,non-dimensional,0.020959019465276885
236,non-dimensional,0.01851290463742299
237,non-dimensional,0.02617555995870231
238,non-dimensional,0.015040838723831555
239,non-dimensional,0.021347103310149006
240,non-dimensional,0.015166632461363756
241,non-dimensional,0.036965729610896524
242,non-dimensional,0.0401975013418775
243,non-dimensional,0.04048926529942619
244,non-dimensional,0.042551999516748644
245,non-dimensional,0.043696176637662475
246,non-dimensional,0.04418769842680125
247,non-dimensional,0.04453125026821808
248,non-dimensional,0.0446596096952809
249,non-dimensional,0.044671063605682355
250,non-dimensional,0.044688982405397225
251,non-dimensional,0.021650645874189255
252,non-dimensional,0.0220729879639796
253,non-dimensional,0.021489308499347267
254,non-dimensional,0.021587234807034172
255,non-dimensional,0.021928073275427163
256,non-dimensional,0.021742481142235877
257,non-dimensional,0.021826931099708076
258,non-dimensional,0.02171650778360092
259,non-dimensional,0.021802725231910854
260,non-dimensional,0.021843956020543176
